PTW dataset FFT analysis.

File name | Correct chord | Prediction info (chord prediction, threshold, detected notes, strong note)

A_dim_7_1.wav Adim ['Adim', 0.49, {'C', 'A', 'Eb'}, 'Eb']
Bb_dim_4_0.wav Bbdim ['Bbdim', 0.64, {'Db', 'Bb', 'E'}, 'E']
Bb_dim_4_1.wav Bbdim ['Bbdim', 0.44, {'Bb', 'Db', 'E'}, 'E']
Bb_dim_5_0.wav Bbdim ['Bbdim', 0.54, {'Db', 'Bb', 'E'}, 'E']
Bb_dim_5_1.wav Bbdim ['Bbdim', 0.14, {'Bb', 'Db', 'E'}, 'E']
Bb_dim_6_0.wav Bbdim ['Bbdim', 0.3, {'Db', 'Bb', 'E'}, 'E']
Bb_dim_6_1.wav Bbdim ['Bbdim', 0.3, {'Bb', 'Db', 'E'}, 'E']
Bb_dim_7_0.wav Bbdim ['Bbdim', 0.56, {'Db', 'Bb', 'E'}, 'E']
Bb_maj_7_1.wav Bbmaj ['Bbmaj', 0.3, {'Bb', 'D', 'F'}, 'F']
Bb_maj_2_0.wav Bbmaj ['Bbmaj', 0.61, {'Bb', 'F', 'D'}, 'Bb']
Bb_maj_2_1.wav Bbmaj ['Bbmaj', 0.77, {'Bb', 'F', 'D'}, 'Bb']
Bb_maj_3_0.wav Bbmaj ['F', 0.6, {'Bb', 'A', 'F'}, 'F']
Bb_maj_3_1.wav Bbmaj ['F', 0.62, {'Bb', 'A', 'F'}, 'F']
Bb_maj_4_0.wav Bbmaj ['Bbmaj', 0.65, {'Bb', 'F', 'D'}, 'F']
Bb_maj_4_1.wav Bbmaj ['Bbmaj', 0.45, {'Bb', 'D', 'F'}, 'F']
Bb_maj_5_0.wav Bbmaj ['Bbmaj', 0.48, {'Bb', 'F', 'D'}, 'F']
Bb_maj_5_1.wav Bbmaj ['Bbmaj', 0.15, {'Bb', 'D', 'F'}, 'F']
Bb_maj_6_0.wav Bbmaj ['Bbmaj', 0.37, {'Bb', 'F', 'D'}, 'F']
Bb_maj_6_1.wav Bbmaj ['Bbmaj', 0.37, {'Bb', 'F', 'D'}, 'F']
Bb_maj_7_0.wav Bbmaj ['Bbmaj', 0.59, {'Bb', 'F', 'D'}, 'F']
Bb_min_7_1.wav Bbmin ['Bbmin', 0.3, {'Bb', 'Db', 'F'}, 'F']
Bb_min_2_0.wav Bbmin ['Db', 0.57, {'Db', 'Bb', 'D'}, 'Db']
Bb_min_2_1.wav Bbmin ['Bbmin', 0.55, {'Db', 'Bb', 'F'}, 'Db']
Bb_min_3_0.wav Bbmin ['Bbmin', 0.62, {'Db', 'Bb', 'F'}, 'F']
Bb_min_3_1.wav Bbmin ['Bbmin', 0.64, {'Db', 'Bb', 'F'}, 'F']
Bb_min_4_0.wav Bbmin ['Bbmin', 0.64, {'Db', 'Bb', 'F'}, 'F']
Bb_min_4_1.wav Bbmin ['Bbmin', 0.44, {'Bb', 'Db', 'F'}, 'F']
Bb_min_5_0.wav Bbmin ['Bbmin', 0.57, {'Db', 'Bb', 'F'}, 'F']
Bb_min_5_1.wav Bbmin ['Fsus4', 0.14, {'Bb', 'Db', 'F', 'C'}, 'F']
Bb_min_6_0.wav Bbmin ['Bbmin', 0.35, {'Db', 'Bb', 'F'}, 'F']
Bb_min_6_1.wav Bbmin ['Bbmin', 0.35, {'Bb', 'Db', 'F'}, 'F']
Bb_min_7_0.wav Bbmin ['Bbmin', 0.57, {'Db', 'Bb', 'F'}, 'F']
B_dim_7_1.wav Bdim ['Bdim', 0.28, {'D', 'B', 'F'}, 'F']
B_dim_2_0.wav Bdim ['Bdim', 0.5, {'B', 'F', 'D'}, 'B']
B_dim_2_1.wav Bdim ['Bdim', 0.51, {'B', 'F', 'D'}, 'B']
B_dim_3_0.wav Bdim ['', 0.62, {'B', 'A', 'F'}, '']
Failed to process B_dim_3_0.wav: string index out of range
B_dim_3_1.wav Bdim ['F', 0.62, {'B', 'A', 'F'}, 'F']
B_dim_4_0.wav Bdim ['Bdim', 0.82, {'B', 'F', 'D'}, 'F']
B_dim_4_1.wav Bdim ['Bdim', 0.69, {'D', 'B', 'F'}, 'F']
B_dim_5_0.wav Bdim ['Bdim', 0.48, {'B', 'F', 'D'}, 'F']
B_dim_5_1.wav Bdim ['F', 0.14, {'C', 'D', 'F'}, 'F']
B_dim_6_0.wav Bdim ['Bdim', 0.37, {'B', 'F', 'D'}, 'F']
B_dim_6_1.wav Bdim ['Bdim', 0.33, {'D', 'B', 'F'}, 'F']
B_dim_7_0.wav Bdim ['Bdim', 0.51, {'B', 'F', 'D'}, 'F']
B_maj_2_0.wav Bmaj ['Gbsus4', 0.46, {'Gb', 'Db', 'B', 'F'}, 'B']
B_maj_2_1.wav Bmaj ['Gbsus4', 0.45, {'Gb', 'Db', 'B'}, 'B']
B_maj_3_0.wav Bmaj ['B', 0.58, {'Bb', 'B', 'Eb'}, 'B']
B_maj_3_1.wav Bmaj ['B', 0.7, {'Bb', 'B', 'Eb'}, 'B']
B_maj_4_0.wav Bmaj ['Bmaj', 0.45, {'Gb', 'B', 'Eb'}, 'Eb']
B_maj_4_1.wav Bmaj ['Bmaj', 0.45, {'Gb', 'B', 'Eb'}, 'Eb']
B_maj_5_0.wav Bmaj ['Bmaj', 0.29, {'Gb', 'B', 'Eb'}, 'B']
B_maj_5_1.wav Bmaj ['Bmaj', 0.27, {'Gb', 'B', 'Eb'}, 'Eb']
B_maj_6_0.wav Bmaj ['Bmaj', 0.5, {'Gb', 'B', 'Eb'}, 'Gb']
B_maj_6_1.wav Bmaj ['Bmaj', 0.47, {'Gb', 'B', 'Eb'}, 'Gb']
B_maj_7_0.wav Bmaj ['Bmaj', 0.5, {'Gb', 'B', 'Eb'}, 'Eb']
B_maj_7_1.wav Bmaj ['Bmaj', 0.27, {'Gb', 'B', 'Eb'}, 'Eb']
B_min_2_0.wav Bmin ['Bmin', 0.49, {'Gb', 'B', 'D'}, 'B']
B_min_2_1.wav Bmin ['Bmin', 0.49, {'Gb', 'B', 'D'}, 'B']
B_min_3_0.wav Bmin ['B', 0.58, {'B', 'A', 'D'}, 'B']
B_min_3_1.wav Bmin ['B', 0.7, {'B', 'A', 'D'}, 'B']
B_min_4_0.wav Bmin ['Bmin', 0.59, {'Gb', 'B', 'D'}, 'B']
B_min_4_1.wav Bmin ['Bmin', 0.6, {'Gb', 'D', 'B'}, 'D']
B_min_5_0.wav Bmin ['Bmin', 0.28, {'Gb', 'B', 'D'}, 'B']
B_min_5_1.wav Bmin ['Bmin', 0.27, {'Gb', 'D', 'B'}, 'D']
B_min_6_0.wav Bmin ['Bmin', 0.52, {'Gb', 'B', 'D'}, 'Gb']
B_min_6_1.wav Bmin ['Bmin', 0.47, {'Gb', 'D', 'B'}, 'Gb']
B_min_7_0.wav Bmin ['Bmin', 0.83, {'Gb', 'B', 'D'}, 'D']
B_min_7_1.wav Bmin ['Bmin', 0.45, {'Gb', 'D', 'B'}, 'D']
Cs_dim_7_1.wav Dbdim ['Dbdim', 0.32, {'G', 'Db', 'E'}, 'E']
Cs_dim_2_0.wav Dbdim ['Db', 0.78, {'Db', 'B', 'E', 'F'}, 'Db']
Cs_dim_2_1.wav Dbdim ['Db', 0.61, {'Db', 'B', 'E'}, 'Db']
Cs_dim_3_0.wav Dbdim ['Db', 0.35, {'Db', 'G', 'D'}, 'Db']
Cs_dim_3_1.wav Dbdim ['G', 0.58, {'Ab', 'Db', 'G'}, 'G']
Cs_dim_4_0.wav Dbdim ['E', 0.41, {'Db', 'E', 'D'}, 'E']
Cs_dim_4_1.wav Dbdim ['E', 0.4, {'Db', 'E', 'D'}, 'E']
Cs_dim_5_0.wav Dbdim ['Dbdim', 0.48, {'G', 'Db', 'E'}, 'E']
Cs_dim_5_1.wav Dbdim ['Dbdim', 0.49, {'G', 'Db', 'E'}, 'E']
Cs_dim_6_0.wav Dbdim ['Dbdim', 0.23, {'G', 'Db', 'E'}, 'E']
Cs_dim_6_1.wav Dbdim ['Emin', 0.12, {'G', 'B', 'E'}, 'E']
Cs_dim_7_0.wav Dbdim ['Dbdim', 0.3, {'G', 'Db', 'E'}, 'E']
Cs_maj_7_1.wav Dbmaj ['Dbmaj', 0.38, {'Db', 'Ab', 'F'}, 'F']
Cs_maj_2_0.wav Dbmaj ['C', 0.78, {'C', 'Db', 'Eb'}, 'C']
Cs_maj_2_1.wav Dbmaj ['Db', 0.64, {'C', 'Db', 'F'}, 'Db']
Cs_maj_3_0.wav Dbmaj ['Dbmaj', 0.46, {'Db', 'Ab', 'F'}, 'Db']
Cs_maj_3_1.wav Dbmaj ['Dbmaj', 0.93, {'Db', 'Ab', 'F'}, 'Db']
Cs_maj_4_0.wav Dbmaj ['Dbmaj', 0.68, {'Db', 'Ab', 'F'}, 'F']
Cs_maj_4_1.wav Dbmaj ['Dbmaj', 0.71, {'Db', 'Ab', 'F'}, 'F']
Cs_maj_5_0.wav Dbmaj ['Dbmaj', 0.43, {'Db', 'Ab', 'F'}, 'F']
Cs_maj_5_1.wav Dbmaj ['Dbmaj', 0.43, {'Db', 'Ab', 'F'}, 'F']
Cs_maj_6_0.wav Dbmaj ['Dbmaj', 0.17, {'Db', 'Ab', 'F'}, 'F']
Cs_maj_6_1.wav Dbmaj ['Fmin', 0.14, {'C', 'Ab', 'F'}, 'F']
Cs_maj_7_0.wav Dbmaj ['Dbmaj', 0.34, {'Db', 'Ab', 'F'}, 'F']
Cs_min_7_1.wav Dbmin ['Dbmin', 0.31, {'Ab', 'Db', 'E'}, 'E']
Cs_min_2_0.wav Dbmin ['Db', 0.8, {'Db', 'B', 'Eb'}, 'Db']
Cs_min_2_1.wav Dbmin ['Db', 0.63, {'Db', 'B', 'Eb'}, 'Db']
Cs_min_3_0.wav Dbmin ['Dbsus2', 0.45, {'Db', 'Ab', 'Eb'}, 'Db']
Cs_min_3_1.wav Dbmin ['Dbsus2', 0.77, {'Db', 'Ab', 'Eb'}, 'Db']
Cs_min_4_0.wav Dbmin ['Dbmin', 0.63, {'Ab', 'Db', 'E'}, 'E']
Cs_min_4_1.wav Dbmin ['Dbmin', 0.66, {'Ab', 'Db', 'E'}, 'E']
Cs_min_5_0.wav Dbmin ['Dbmin', 0.42, {'Ab', 'Db', 'E'}, 'E']
Cs_min_5_1.wav Dbmin ['Dbmin', 0.43, {'Ab', 'Db', 'E'}, 'E']
Cs_min_6_0.wav Dbmin ['Dbmin', 0.16, {'Ab', 'Db', 'E'}, 'E']
Cs_min_6_1.wav Dbmin ['Emaj', 0.12, {'Ab', 'B', 'E'}, 'E']
Cs_min_7_0.wav Dbmin ['Dbmin', 0.3, {'Ab', 'Db', 'E'}, 'E']
C_dim_7_1.wav Cdim ['Cdim', 0.49, {'C', 'Gb', 'Eb'}, 'Gb']
C_dim_2_0.wav Cdim ['C', 0.88, {'C', 'Db', 'Eb'}, 'C']
C_dim_2_1.wav Cdim ['C', 0.82, {'C', 'Db', 'Bb'}, 'C']
C_dim_3_0.wav Cdim ['C', 0.49, {'C', 'Gb', 'Db'}, 'C']
C_dim_3_1.wav Cdim ['C', 0.64, {'C', 'Gb', 'Db'}, 'C']
C_dim_4_0.wav Cdim ['C', 0.81, {'C', 'Bb', 'Eb'}, 'C']
C_dim_4_1.wav Cdim ['C', 0.67, {'C', 'Bb', 'Eb'}, 'C']
C_dim_5_0.wav Cdim ['Cdim', 0.45, {'C', 'Gb', 'Eb'}, 'Eb']
C_dim_5_1.wav Cdim ['Cdim', 0.45, {'C', 'Gb', 'Eb'}, 'Eb']
C_dim_6_0.wav Cdim ['Cdim', 0.33, {'C', 'Gb', 'Eb'}, 'C']
C_dim_6_1.wav Cdim ['Cdim', 0.26, {'C', 'Gb', 'Eb'}, 'Eb']
C_dim_7_0.wav Cdim ['Cdim', 0.5, {'C', 'Gb', 'Eb'}, 'Gb']
C_maj_7_1.wav Cmaj ['Cmaj', 0.31, {'C', 'G', 'E'}, 'E']
C_maj_2_0.wav Cmaj ['B', 0.89, {'C', 'B', 'G'}, 'B']
C_maj_2_1.wav Cmaj ['C', 0.76, {'C', 'B', 'E'}, 'C']
C_maj_3_0.wav Cmaj ['A', 0.87, {'Gb', 'E', 'A'}, 'A']
C_maj_3_1.wav Cmaj ['Csus2', 0.57, {'C', 'D', 'G'}, 'G']
C_maj_4_0.wav Cmaj ['Cmaj', 0.4, {'C', 'G', 'D', 'E'}, 'E']
C_maj_4_1.wav Cmaj ['E', 0.41, {'C', 'D', 'E'}, 'E']
C_maj_5_0.wav Cmaj ['Cmaj', 0.49, {'C', 'G', 'E'}, 'E']
C_maj_5_1.wav Cmaj ['Cmaj', 0.49, {'C', 'G', 'E'}, 'E']
C_maj_6_0.wav Cmaj ['Cmaj', 0.23, {'C', 'G', 'E'}, 'E']
C_maj_6_1.wav Cmaj ['Cmaj', 0.12, {'C', 'G', 'B', 'E'}, 'E']
C_maj_7_0.wav Cmaj ['Cmaj', 0.42, {'C', 'G', 'E'}, 'E']
C_min_7_1.wav Cmin ['Cmin', 0.57, {'C', 'G', 'Eb'}, 'G']
C_min_2_0.wav Cmin ['Cmin', 0.88, {'C', 'Bb', 'G', 'Eb'}, 'C']
C_min_2_1.wav Cmin ['C', 0.8, {'C', 'Bb', 'Eb'}, 'C']
C_min_3_0.wav Cmin ['C', 0.49, {'C', 'Gb', 'G'}, 'C']
C_min_3_1.wav Cmin ['Cmin', 0.58, {'C', 'G', 'Eb'}, 'G']
C_min_4_0.wav Cmin ['C', 0.83, {'C', 'Bb', 'Eb'}, 'C']
C_min_4_1.wav Cmin ['C', 0.68, {'C', 'Bb', 'Eb'}, 'C']
C_min_5_0.wav Cmin ['Cmin', 0.44, {'C', 'G', 'Eb'}, 'Eb']
C_min_5_1.wav Cmin ['Cmin', 0.44, {'C', 'G', 'Eb'}, 'Eb']
C_min_6_0.wav Cmin ['Cmin', 0.3, {'C', 'G', 'Eb'}, 'C']
C_min_6_1.wav Cmin ['Cmin', 0.27, {'C', 'G', 'Eb'}, 'Eb']
C_min_7_0.wav Cmin ['Cmin', 0.56, {'C', 'G', 'Eb'}, 'G']
D_dim_7_1.wav Ddim ['Ddim', 0.38, {'D', 'Ab', 'F'}, 'F']
D_dim_2_0.wav Ddim ['C', 0.78, {'C', 'F', 'Eb'}, 'C']
D_dim_2_1.wav Ddim ['C', 0.78, {'C', 'F', 'Eb'}, 'C']
D_dim_3_0.wav Ddim ['F', 0.8, {'Ab', 'F', 'Eb'}, 'F']
D_dim_3_1.wav Ddim ['Dmin', 0.88, {'D', 'A', 'F'}, 'F']
D_dim_4_0.wav Ddim ['F', 0.64, {'A', 'Ab', 'F'}, 'F']
D_dim_4_1.wav Ddim ['Ddim', 0.7, {'D', 'Ab', 'F'}, 'F']
D_dim_5_0.wav Ddim ['Ddim', 0.43, {'D', 'Ab', 'F'}, 'F']
D_dim_5_1.wav Ddim ['Ddim', 0.37, {'D', 'Ab', 'F'}, 'F']
D_dim_6_0.wav Ddim ['Ddim', 0.16, {'D', 'Ab', 'F'}, 'F']
D_dim_6_1.wav Ddim ['Fmin', 0.14, {'C', 'Ab', 'F'}, 'F']
D_dim_7_0.wav Ddim ['Ddim', 0.36, {'D', 'Ab', 'F'}, 'F']
D_maj_7_1.wav Dmaj ['Dmaj', 0.56, {'Gb', 'D', 'A'}, 'Gb']
D_maj_2_0.wav Dmaj ['Gbmin', 0.7, {'Gb', 'Db', 'A'}, 'Db']
D_maj_2_1.wav Dmaj ['Gbmin', 0.56, {'Gb', 'Db', 'A'}, 'A']
D_maj_3_0.wav Dmaj ['A', 0.87, {'Gb', 'E', 'A'}, 'A']
D_maj_3_1.wav Dmaj ['Dmaj', 0.78, {'Gb', 'D', 'A'}, 'A']
D_maj_4_0.wav Dmaj ['A', 0.7, {'Db', 'D', 'A'}, 'A']
D_maj_4_1.wav Dmaj ['D', 0.58, {'Db', 'D', 'A'}, 'D']
D_maj_5_0.wav Dmaj ['Dmaj', 0.48, {'Gb', 'D', 'A'}, 'D']
D_maj_5_1.wav Dmaj ['Dmaj', 0.75, {'Gb', 'D', 'A'}, 'Gb']
D_maj_6_0.wav Dmaj ['Dmaj', 0.32, {'Gb', 'D', 'A'}, 'D']
D_maj_6_1.wav Dmaj ['Dmaj', 0.38, {'Gb', 'D', 'A'}, 'Gb']
D_maj_7_0.wav Dmaj ['Dmaj', 0.52, {'Gb', 'D', 'A'}, 'Gb']
D_min_7_1.wav Dmin ['Dmin', 0.38, {'D', 'A', 'F'}, 'F']
D_min_2_0.wav Dmin ['Fmaj', 0.76, {'C', 'A', 'F'}, 'C']
D_min_2_1.wav Dmin ['Fmaj', 0.74, {'C', 'A', 'F'}, 'A']
D_min_3_0.wav Dmin ['A', 0.85, {'E', 'A', 'F'}, 'A']
D_min_3_1.wav Dmin ['Dmin', 0.79, {'D', 'A', 'F'}, 'A']
D_min_4_0.wav Dmin ['Dmin', 0.59, {'D', 'A', 'F'}, 'F']
D_min_4_1.wav Dmin ['Dmin', 0.66, {'D', 'A', 'F'}, 'F']
D_min_5_0.wav Dmin ['Dmin', 0.4, {'D', 'A', 'F'}, 'F']
D_min_5_1.wav Dmin ['Dmin', 0.37, {'D', 'A', 'F'}, 'F']
D_min_6_0.wav Dmin ['Dmin', 0.15, {'D', 'A', 'F'}, 'F']
D_min_6_1.wav Dmin ['Fmaj', 0.14, {'C', 'A', 'F'}, 'F']
D_min_7_0.wav Dmin ['Dmin', 0.37, {'D', 'A', 'F'}, 'F']
Eb_dim_7_1.wav Ebdim ['Ebdim', 0.67, {'Gb', 'A', 'Eb'}, 'Gb']
Eb_dim_2_0.wav Ebdim ['A', 0.75, {'Bb', 'A', 'Eb'}, 'A']
Eb_dim_2_1.wav Ebdim ['Gbmin', 0.55, {'Gb', 'Db', 'A'}, 'A']
Eb_dim_3_0.wav Ebdim ['A', 0.86, {'Gb', 'E', 'A'}, 'A']
Eb_dim_3_1.wav Ebdim ['A', 0.95, {'Gb', 'Bb', 'A'}, 'A']
Eb_dim_4_0.wav Ebdim ['A', 0.88, {'Bb', 'A', 'Eb'}, 'A']
Eb_dim_4_1.wav Ebdim ['Eb', 0.43, {'Db', 'A', 'Eb'}, 'Eb']
Eb_dim_5_0.wav Ebdim ['Ebdim', 0.36, {'Gb', 'A', 'Eb'}, 'Eb']
Eb_dim_5_1.wav Ebdim ['Ebdim', 0.72, {'Gb', 'A', 'Eb'}, 'Gb']
Eb_dim_6_0.wav Ebdim ['Ebdim', 0.33, {'Gb', 'A', 'Eb'}, 'Eb']
Eb_dim_6_1.wav Ebdim ['Ebdim', 0.36, {'Gb', 'A', 'Eb'}, 'Gb']
Eb_dim_7_0.wav Ebdim ['Ebdim', 0.5, {'Gb', 'A', 'Eb'}, 'Gb']
Eb_maj_7_1.wav Ebmaj ['Ebmaj', 0.56, {'Bb', 'G', 'Eb'}, 'Eb']
Eb_maj_2_0.wav Ebmaj ['Bb', 0.46, {'Bb', 'Eb', 'D'}, 'Bb']
Eb_maj_2_1.wav Ebmaj ['Gmin', 0.52, {'Bb', 'G', 'D'}, 'Bb']
Eb_maj_3_0.wav Ebmaj ['G', 0.76, {'Bb', 'G', 'F'}, 'G']
Eb_maj_3_1.wav Ebmaj ['Ebmaj', 0.8, {'Bb', 'G', 'Eb'}, 'G']
Eb_maj_4_0.wav Ebmaj ['Bb', 0.67, {'Bb', 'Eb', 'D'}, 'Bb']
Eb_maj_4_1.wav Ebmaj ['Eb', 0.4, {'Bb', 'Eb', 'D'}, 'Eb']
Eb_maj_5_0.wav Ebmaj ['Ebmaj', 0.4, {'Bb', 'G', 'Eb'}, 'Eb']
Eb_maj_5_1.wav Ebmaj ['Ebmaj', 0.74, {'Bb', 'G', 'Eb'}, 'G']
Eb_maj_6_0.wav Ebmaj ['Ebmaj', 0.31, {'Bb', 'G', 'Eb'}, 'Eb']
Eb_maj_6_1.wav Ebmaj ['Ebmaj', 0.38, {'Bb', 'G', 'Eb'}, 'G']
Eb_maj_7_0.wav Ebmaj ['Ebmaj', 0.56, {'Bb', 'G', 'Eb'}, 'G']
Eb_min_7_1.wav Ebmin ['Ebmin', 0.52, {'Gb', 'Bb', 'Eb'}, 'Gb']
Eb_min_2_0.wav Ebmin ['Bb', 0.53, {'Db', 'Bb', 'Eb'}, 'Bb']
Eb_min_2_1.wav Ebmin ['Bb', 0.63, {'Db', 'Bb', 'D'}, 'Bb']
Eb_min_3_0.wav Ebmin ['Bb', 0.85, {'Gb', 'Bb', 'F'}, 'Bb']
Eb_min_3_1.wav Ebmin ['Ebmin', 0.87, {'Gb', 'Bb', 'Eb'}, 'Bb']
Eb_min_4_0.wav Ebmin ['Bb', 0.72, {'Db', 'Bb', 'Eb'}, 'Bb']
Eb_min_4_1.wav Ebmin ['Eb', 0.43, {'Db', 'Bb', 'Eb'}, 'Eb']
Eb_min_5_0.wav Ebmin ['Ebmin', 0.41, {'Gb', 'Bb', 'Eb'}, 'Eb']
Eb_min_5_1.wav Ebmin ['Ebmin', 0.71, {'Gb', 'Bb', 'Eb'}, 'Gb']
Eb_min_6_0.wav Ebmin ['Ebmin', 0.3, {'Gb', 'Bb', 'Eb'}, 'Eb']
Eb_min_6_1.wav Ebmin ['Ebmin', 0.36, {'Gb', 'Bb', 'Eb'}, 'Gb']
Eb_min_7_0.wav Ebmin ['Ebmin', 0.5, {'Gb', 'Bb', 'Eb'}, 'Gb']
E_dim_7_1.wav Edim ['Edim', 0.57, {'Bb', 'G', 'E'}, 'E']
E_dim_2_0.wav Edim ['Bb', 0.7, {'Bb', 'B', 'E'}, 'Bb']
E_dim_2_1.wav Edim ['Gmin', 0.52, {'Bb', 'G', 'D'}, 'Bb']
E_dim_3_0.wav Edim ['G', 0.76, {'Bb', 'G', 'F'}, 'G']
E_dim_3_1.wav Edim ['Edim', 0.6, {'Bb', 'G', 'E'}, 'E']
E_dim_4_0.wav Edim ['E', 0.4, {'Bb', 'E', 'D'}, 'E']
E_dim_4_1.wav Edim ['E', 0.44, {'Bb', 'E', 'D'}, 'E']
E_dim_5_0.wav Edim ['Edim', 0.44, {'G', 'Bb', 'E'}, 'E']
E_dim_5_1.wav Edim ['Edim', 0.54, {'Bb', 'G', 'E'}, 'E']
E_dim_6_0.wav Edim ['Edim', 0.13, {'G', 'Bb', 'E'}, 'E']
E_dim_6_1.wav Edim ['Edim', 0.46, {'Bb', 'G', 'E'}, 'E']
E_dim_7_0.wav Edim ['Edim', 0.32, {'G', 'Bb', 'E'}, 'E']
E_maj_7_1.wav Emaj ['Emaj', 0.49, {'B', 'Ab', 'E'}, 'E']
E_maj_2_0.wav Emaj ['B', 0.69, {'B', 'E', 'Eb'}, 'B']
E_maj_2_1.wav Emaj ['Abmin', 0.55, {'B', 'Ab', 'Eb'}, 'B']
E_maj_3_0.wav Emaj ['Abmin', 0.52, {'B', 'Ab', 'Eb'}, 'B']
E_maj_3_1.wav Emaj ['Emaj', 0.49, {'B', 'Ab', 'E'}, 'E']
E_maj_4_0.wav Emaj ['Emaj', 0.64, {'Ab', 'B', 'E'}, 'E']
E_maj_4_1.wav Emaj ['Emaj', 0.69, {'B', 'Ab', 'E'}, 'E']
E_maj_5_0.wav Emaj ['Emaj', 0.42, {'Ab', 'B', 'E'}, 'E']
E_maj_5_1.wav Emaj ['Emaj', 0.52, {'B', 'Ab', 'E'}, 'E']
E_maj_6_0.wav Emaj ['Emaj', 0.14, {'Ab', 'B', 'E'}, 'E']
E_maj_6_1.wav Emaj ['Emaj', 0.42, {'B', 'Ab', 'E'}, 'E']
E_maj_7_0.wav Emaj ['Emaj', 0.28, {'Ab', 'B', 'E'}, 'E']
E_min_7_1.wav Emin ['Emin', 0.48, {'B', 'G', 'E'}, 'E']
E_min_2_0.wav Emin ['Emaj', 0.68, {'Ab', 'B', 'E', 'D'}, 'B']
E_min_2_1.wav Emin ['Gmaj', 0.55, {'B', 'G', 'D'}, 'B']
