GTR3 dataset FFT analysis.

File name | Correct chord | Prediction info (chord prediction, threshold, detected notes, strong note)

Am_AcusticPlug26_1.wav Amin ['Amin', 0.46, {'A', 'C', 'E'}, 'E']
Am_AcusticVince_JO_1.wav Amin ['Amin', 0.56, {'A', 'C', 'E'}, 'C']
Am_AcusticVince_JO_2.wav Amin ['Amin', 0.55, {'A', 'C', 'E'}, 'C']
Am_AcusticVince_JO_3.wav Amin ['Amin', 0.35, {'A', 'C', 'E'}, 'C']
Am_AcusticVince_JO_4.wav Amin ['Amin', 0.67, {'A', 'C', 'E'}, 'A']
Am_ClassicVince_JO_1.wav Amin ['Emaj', 0.33, {'B', 'Ab', 'E'}, 'B']
Am_ClassicVince_JO_2.wav Amin ['Emaj', 0.22, {'B', 'Ab', 'E'}, 'B']
Am_ClassicVince_JO_3.wav Amin ['Esus2', 0.23, {'B', 'Gb', 'E'}, 'B']
Am_ClassicVince_JO_4.wav Amin ['Emaj', 0.15, {'B', 'Ab', 'Gb', 'E'}, 'B']
Am_Classic_Jo_1.wav Amin ['Amin', 0.33, {'A', 'C', 'E'}, 'A']
Am_Classic_Jo_2.wav Amin ['Amin', 0.36, {'A', 'C', 'E'}, 'A']
Am_Classic_Jo_3.wav Amin ['Amin', 0.52, {'A', 'C', 'E'}, 'A']
Am_Classic_Jo_4.wav Amin ['Amin', 0.57, {'A', 'C', 'E'}, 'A']
Am_Electric1_LInda_1.wav Amin ['Emin', 0.71, {'B', 'G', 'E'}, 'E']
Am_Electric1_LInda_2.wav Amin ['C', 0.42, {'Db', 'C', 'E'}, 'C']
Am_Electric1_LInda_3.wav Amin ['E', 0.69, {'B', 'Db', 'E'}, 'E']
Am_Electric1_LInda_4.wav Amin ['E', 0.68, {'B', 'C', 'E'}, 'E']
Am_Electric2_LInda_1.wav Amin ['Esus4', 0.75, {'B', 'A', 'E'}, 'E']
Am_Electric2_LInda_2.wav Amin ['A', 0.56, {'B', 'A', 'C'}, 'A']
Am_Electric2_LInda_3.wav Amin ['B', 0.92, {'B', 'C', 'E'}, 'B']
Am_Electric2_LInda_4.wav Amin ['Esus4', 0.66, {'B', 'A', 'E'}, 'A']
Am_AcousticGuitar_RodrigoMercador_1.wav Amin ['Amin', 0.32, {'A', 'C', 'E'}, 'E']
Am_AcousticGuitar_RodrigoMercador_2.wav Amin ['Amin', 0.44, {'A', 'C', 'E'}, 'E']
Am_AcousticGuitar_RodrigoMercador_3.wav Amin ['Amin', 0.32, {'A', 'C', 'E'}, 'E']
Am_AcousticGuitar_RodrigoMercador_4.wav Amin ['E', 0.47, {'G', 'A', 'E'}, 'E']
Am_AcusticPlug15_1.wav Amin ['Amin', 0.28, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug15_2.wav Amin ['Esus4', 0.18, {'B', 'A', 'E'}, 'A']
Am_AcusticPlug15_3.wav Amin ['Amin', 0.18, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug15_4.wav Amin ['Amin', 0.46, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug16_1.wav Amin ['Dsus2', 0.57, {'A', 'D', 'E'}, 'E']
Am_AcusticPlug16_2.wav Amin ['Amin', 0.48, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug16_3.wav Amin ['Dsus2', 0.69, {'A', 'D', 'E'}, 'A']
Am_AcusticPlug16_4.wav Amin ['E', 0.44, {'C', 'D', 'E'}, 'E']
Am_AcusticPlug17_1.wav Amin ['Amin', 0.5, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug17_2.wav Amin ['Esus4', 0.44, {'B', 'A', 'E'}, 'A']
Am_AcusticPlug17_3.wav Amin ['Amin', 0.44, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug17_4.wav Amin ['Amin', 0.43, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug18_1.wav Amin ['Amin', 0.23, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug18_2.wav Amin ['Esus4', 0.29, {'B', 'A', 'E'}, 'A']
Am_AcusticPlug18_3.wav Amin ['Amin', 0.37, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug18_4.wav Amin ['Amin', 0.43, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug19_1.wav Amin ['Amin', 0.43, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug19_2.wav Amin ['Amin', 0.79, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug19_3.wav Amin ['Amin', 0.59, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug19_4.wav Amin ['Amin', 0.4, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug1_1.wav Amin ['D', 0.36, {'Bb', 'A', 'D'}, 'D']
Am_AcusticPlug1_2.wav Amin ['D', 0.55, {'Bb', 'A', 'D'}, 'D']
Am_AcusticPlug1_3.wav Amin ['D', 0.71, {'Bb', 'D', 'E'}, 'D']
Am_AcusticPlug1_4.wav Amin ['D', 0.43, {'Bb', 'D', 'E'}, 'D']
Am_AcusticPlug20_1.wav Amin ['A', 0.25, {'G', 'A', 'E'}, 'A']
Am_AcusticPlug20_2.wav Amin ['A', 0.29, {'G', 'A', 'E'}, 'A']
Am_AcusticPlug20_3.wav Amin ['A', 0.47, {'G', 'A', 'E'}, 'A']
Am_AcusticPlug20_4.wav Amin ['E', 0.4, {'G', 'A', 'E'}, 'E']
Am_AcusticPlug21_1.wav Amin ['Amin', 0.35, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug21_2.wav Amin ['Amin', 0.32, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug21_3.wav Amin ['Amin', 0.41, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug21_4.wav Amin ['Amin', 0.42, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug22_1.wav Amin ['Amin', 0.41, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug22_2.wav Amin ['Amin', 0.39, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug22_3.wav Amin ['Amin', 0.47, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug22_4.wav Amin ['Amin', 0.41, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug23_1.wav Amin ['Amin', 0.43, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug23_2.wav Amin ['Esus4', 0.34, {'B', 'A', 'E'}, 'A']
Am_AcusticPlug23_3.wav Amin ['Amin', 0.41, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug23_4.wav Amin ['Amin', 0.44, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug24_1.wav Amin ['Amin', 0.41, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug24_2.wav Amin ['Amin', 0.54, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug24_3.wav Amin ['Amin', 0.57, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug24_4.wav Amin ['Amin', 0.39, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug25_1.wav Amin ['Amin', 0.4, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug25_2.wav Amin ['Amin', 0.4, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug25_3.wav Amin ['Amin', 0.51, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug25_4.wav Amin ['Amin', 0.38, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug2_1.wav Amin ['D', 0.34, {'Bb', 'D', 'E'}, 'D']
Am_AcusticPlug2_2.wav Amin ['D', 0.51, {'Bb', 'B', 'D'}, 'D']
Am_AcusticPlug2_3.wav Amin ['D', 0.61, {'Bb', 'D', 'E'}, 'D']
Am_AcusticPlug2_4.wav Amin ['D', 0.43, {'Bb', 'D', 'E'}, 'D']
Am_AcusticPlug3_1.wav Amin ['Bb', 0.54, {'Bb', 'D', 'E'}, 'Bb']
Am_AcusticPlug3_2.wav Amin ['Bb', 0.58, {'Bb', 'C', 'D'}, 'Bb']
Am_AcusticPlug3_3.wav Amin ['Bb', 0.72, {'Bb', 'D', 'E'}, 'Bb']
Am_AcusticPlug3_4.wav Amin ['Bb', 0.63, {'Bb', 'D', 'E'}, 'Bb']
Am_AcusticPlug4_1.wav Amin ['Amin', 0.56, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug4_2.wav Amin ['Esus4', 0.81, {'B', 'A', 'E'}, 'B']
Am_AcusticPlug4_3.wav Amin ['Esus4', 0.64, {'B', 'A', 'E'}, 'A']
Am_AcusticPlug4_4.wav Amin ['Cmaj', 0.37, {'G', 'C', 'E'}, 'E']
Am_AcusticPlug5_1.wav Amin ['Amin', 0.56, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug5_2.wav Amin ['Amin', 0.79, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug5_3.wav Amin ['A', 0.69, {'G', 'A', 'E'}, 'A']
Am_AcusticPlug5_4.wav Amin ['Cmaj', 0.39, {'G', 'C', 'E'}, 'E']
Am_AcusticPlug7_1.wav Amin ['Bb', 0.78, {'Bb', 'D', 'E'}, 'Bb']
Am_AcusticPlug7_2.wav Amin ['Bb', 0.89, {'Bb', 'A', 'E'}, 'Bb']
Am_AcusticPlug7_3.wav Amin ['Dsus2', 0.91, {'Bb', 'A', 'D', 'E'}, 'Bb']
Am_AcusticPlug7_4.wav Amin ['E', 0.72, {'Bb', 'D', 'E'}, 'E']
Am_Acustic_Miguel_1.wav Amin ['Esus4', 0.55, {'B', 'A', 'E'}, 'A']
Am_Acustic_Miguel_2.wav Amin ['Esus4', 0.36, {'B', 'A', 'E'}, 'E']
Am_Acustic_Miguel_3.wav Amin ['Esus4', 0.17, {'B', 'A', 'E'}, 'A']
Am_Acustic_Miguel_4.wav Amin ['Esus4', 0.13, {'B', 'A', 'E'}, 'A']
Am_AcustiicPlug10_1.wav Amin ['A', 0.63, {'Bb', 'A', 'D'}, 'A']
Am_AcustiicPlug10_2.wav Amin ['A', 0.34, {'Bb', 'B', 'A'}, 'A']
Am_AcustiicPlug10_3.wav Amin ['A', 0.52, {'Bb', 'A', 'E'}, 'A']
Am_AcustiicPlug10_4.wav Amin ['Bb', 0.58, {'Bb', 'D', 'E'}, 'Bb']
Am_AcustiicPlug11_1.wav Amin ['A', 0.71, {'Bb', 'A', 'D'}, 'A']
Am_AcustiicPlug11_2.wav Amin ['A', 0.38, {'Bb', 'A', 'D'}, 'A']
Am_AcustiicPlug11_3.wav Amin ['A', 0.47, {'Bb', 'A', 'E'}, 'A']
Am_AcustiicPlug11_4.wav Amin ['Bb', 0.66, {'Bb', 'D', 'E'}, 'Bb']
Am_AcustiicPlug12_1.wav Amin ['Bb', 0.55, {'Bb', 'D', 'E'}, 'Bb']
Am_AcustiicPlug12_2.wav Amin ['', 0.77, {'Bb', 'A', 'D'}, '']
Failed to process Am_AcustiicPlug12_2.wav: string index out of range
Am_AcustiicPlug12_3.wav Amin ['D', 0.7, {'Bb', 'A', 'D'}, 'D']
Am_AcustiicPlug12_4.wav Amin ['Bb', 0.61, {'Bb', 'D', 'E'}, 'Bb']
Am_AcustiicPlug13_1.wav Amin ['Dsus2', 0.48, {'A', 'D', 'E'}, 'E']
Am_AcustiicPlug13_2.wav Amin ['Dsus2', 0.6, {'A', 'D', 'E'}, 'A']
Am_AcustiicPlug13_3.wav Amin ['Dsus2', 0.75, {'A', 'D', 'E'}, 'A']
Am_AcustiicPlug13_4.wav Amin ['E', 0.38, {'C', 'D', 'E'}, 'E']
Am_AcustiicPlug14_1.wav Amin ['Amin', 0.43, {'A', 'C', 'E'}, 'A']
Am_AcustiicPlug14_2.wav Amin ['Esus4', 0.35, {'B', 'A', 'E'}, 'A']
Am_AcustiicPlug14_3.wav Amin ['Esus4', 0.31, {'B', 'A', 'C', 'E'}, 'A']
Am_AcustiicPlug14_4.wav Amin ['Amin', 0.43, {'A', 'C', 'E'}, 'E']
Am_AcustiicPlug6_1.wav Amin ['Amin', 0.62, {'A', 'C', 'E'}, 'E']
Am_AcustiicPlug6_2.wav Amin ['Esus4', 0.76, {'B', 'A', 'C', 'E'}, 'B']
Am_AcustiicPlug6_3.wav Amin ['Emin', 0.58, {'B', 'G', 'A', 'E'}, '']
Am_AcustiicPlug6_4.wav Amin ['E', 0.49, {'Bb', 'C', 'E'}, 'E']
Am_AcustiicPlug8_1.wav Amin ['E', 0.52, {'Bb', 'A', 'E'}, 'E']
Am_AcustiicPlug8_2.wav Amin ['Esus4', 0.57, {'B', 'A', 'E'}, 'A']
Am_AcustiicPlug8_3.wav Amin ['Esus4', 0.4, {'B', 'A', 'E'}, 'A']
Am_AcustiicPlug8_4.wav Amin ['E', 0.27, {'Bb', 'C', 'E'}, 'E']
Am_AcustiicPlug9_1.wav Amin ['D', 0.5, {'Bb', 'Ab', 'D'}, 'D']
Am_AcustiicPlug9_2.wav Amin ['Dmaj', 0.47, {'B', 'Gb', 'D', 'A'}, 'D']
Am_AcustiicPlug9_3.wav Amin ['Dmaj', 0.39, {'Gb', 'D', 'A'}, 'D']
Am_AcustiicPlug9_4.wav Amin ['Daug', 0.5, {'Bb', 'Gb', 'D'}, 'D']
Am_Classic2_Carolina_1.wav Amin ['Amin', 0.48, {'A', 'C', 'E'}, 'A']
Am_Classic2_Carolina_2.wav Amin ['Amin', 0.57, {'A', 'C', 'E'}, 'A']
Am_Classic2_Carolina_3.wav Amin ['Amin', 0.66, {'A', 'C', 'E'}, 'A']
Am_Classic2_Carolina_4.wav Amin ['Amin', 0.36, {'A', 'C', 'E'}, 'A']
Am_Classic3_Carolina_1.wav Amin ['Amin', 0.48, {'A', 'C', 'E'}, 'E']
Am_Classic3_Carolina_2.wav Amin ['Amin', 0.55, {'A', 'C', 'E'}, 'C']
Am_Classic3_Carolina_3.wav Amin ['Amin', 0.62, {'A', 'C', 'E'}, 'A']
Am_Classic3_Carolina_4.wav Amin ['Amin', 0.36, {'A', 'C', 'E'}, 'A']
Am_ClassicA_Miguel_1.wav Amin ['Amaj', 0.64, {'Db', 'A', 'E'}, 'A']
Am_ClassicA_Miguel_2.wav Amin ['Amaj', 0.71, {'Db', 'A', 'E'}, 'A']
Am_ClassicA_Miguel_3.wav Amin ['Amin', 0.21, {'A', 'C', 'E'}, 'A']
Am_ClassicA_Miguel_4.wav Amin ['Amaj', 0.22, {'Db', 'A', 'E'}, 'E']
Am_ClassicCleanGB_JO_1.wav Amin ['Esus4', 0.73, {'B', 'A', 'E'}, 'B']
Am_ClassicCleanGB_JO_2.wav Amin ['Esus4', 0.75, {'B', 'A', 'E'}, 'E']
Am_ClassicCleanGB_JO_3.wav Amin ['Esus4', 0.56, {'B', 'A', 'E'}, 'E']
Am_ClassicCleanGB_JO_4.wav Amin ['Amin', 0.46, {'A', 'C', 'E'}, 'E']
Am_Classic_Jegundo_1.wav Amin ['Amin', 0.24, {'A', 'C', 'E'}, 'A']
Am_Classic_Jegundo_2.wav Amin ['Amin', 0.35, {'A', 'C', 'E'}, 'A']
Am_Classic_Jegundo_3.wav Amin ['Amin', 0.23, {'A', 'C', 'E'}, 'A']
Am_Classic_Jegundo_4.wav Amin ['Amin', 0.14, {'A', 'C', 'E'}, 'A']
Am_Classic_Miguel_1.wav Amin ['Esus4', 0.23, {'B', 'A', 'E'}, 'E']
Am_Classic_Miguel_2.wav Amin ['Amin', 0.19, {'A', 'C', 'E'}, 'A']
Am_Classic_Miguel_3.wav Amin ['Amin', 0.22, {'A', 'C', 'E'}, 'E']
Am_Classic_Miguel_4.wav Amin ['Amin', 0.12, {'A', 'C', 'E'}, 'A']
Am_Classic_Simona_1.wav Amin ['Amin', 0.29, {'A', 'C', 'E'}, 'A']
Am_Classic_Simona_2.wav Amin ['Amin', 0.34, {'A', 'C', 'E'}, 'A']
Am_Classic_Simona_3.wav Amin ['Amin', 0.36, {'A', 'C', 'E'}, 'A']
Am_Classic_Simona_4.wav Amin ['Esus4', 0.81, {'B', 'A', 'E'}, 'A']
Am_Electric_Fabi_1.wav Amin ['C', 0.58, {'B', 'A', 'C'}, 'C']
Am_Electric_Fabi_2.wav Amin ['C', 0.54, {'B', 'A', 'C'}, 'C']
Am_Electric_Fabi_3.wav Amin ['Amin', 0.32, {'A', 'C', 'E'}, 'C']
Am_Electric_Fabi_4.wav Amin ['Amin', 0.35, {'A', 'C', 'E'}, 'C']
Am_RetroGB_JO_1.wav Amin ['Cmaj', 0.32, {'G', 'C', 'E'}, 'E']
Am_RetroGB_JO_2.wav Amin ['Emin', 0.42, {'B', 'G', 'E'}, 'E']
Am_RetroGB_JO_3.wav Amin ['Cmaj', 0.47, {'G', 'C', 'E'}, 'G']
Am_RetroGB_JO_4.wav Amin ['Amaj', 0.15, {'Db', 'A', 'E'}, 'E']
Am_RockGB_JO_1.wav Amin ['Esus4', 0.26, {'B', 'A', 'E'}, 'E']
Am_RockGB_JO_2.wav Amin ['Esus4', 0.27, {'B', 'A', 'E'}, 'E']
Am_RockGB_JO_3.wav Amin ['Esus4', 0.53, {'B', 'A', 'E'}, 'E']
Am_RockGB_JO_4.wav Amin ['Amin', 0.64, {'A', 'C', 'E'}, '']
Am_RootsGB_JO_1.wav Amin ['Amin', 0.15, {'A', 'C', 'E'}, 'A']
Am_RootsGB_JO_2.wav Amin ['Amin', 0.14, {'A', 'C', 'E'}, 'A']
Am_RootsGB_JO_3.wav Amin ['Amin', 0.11, {'A', 'C', 'E'}, 'A']
Am_RootsGB_JO_4.wav Amin ['Amin', 0.53, {'A', 'C', 'E'}, 'E']
Am_acousticguitar_Mari_1.wav Amin ['Amin', 0.3, {'A', 'C', 'E'}, 'A']
Am_acousticguitar_Mari_2.wav Amin ['Esus4', 0.18, {'B', 'A', 'E'}, 'A']
Am_acousticguitar_Mari_3.wav Amin ['Amin', 0.52, {'A', 'C', 'E'}, 'A']
Am_acousticguitar_Mari_4.wav Amin ['Amin', 0.53, {'A', 'C', 'E'}, 'E']
Am_acousticguitar_SalomAndrade_1.wav Amin ['Esus4', 0.93, {'B', 'A', 'E'}, 'B']
Am_acousticguitar_SalomAndrade_2.wav Amin ['E', 0.6, {'B', 'C', 'E'}, 'E']
Am_acousticguitar_SalomAndrade_3.wav Amin ['Amin', 0.78, {'A', 'C', 'E'}, 'E']
Am_acousticguitar_SalomAndrade_4.wav Amin ['E', 0.2, {'B', 'C', 'E'}, 'E']
Am_acusticGB_JO_1.wav Amin ['Amin', 0.53, {'A', 'C', 'E'}, 'E']
Am_acusticGB_JO_2.wav Amin ['Amin', 0.58, {'A', 'C', 'E'}, 'E']
Am_acusticGB_JO_3.wav Amin ['Amin', 0.49, {'A', 'C', 'E'}, 'E']
Am_acusticGB_JO_4.wav Amin ['Amin', 0.45, {'A', 'C', 'E'}, 'E']
Am_classical_AfonsoLemos_-01.wav Amin ['Amin', 0.29, {'A', 'C', 'E'}, 'A']
Am_classical_AfonsoLemos_-02.wav Amin ['Amin', 0.24, {'A', 'C', 'E'}, 'A']
Am_classical_AfonsoLemos_-03.wav Amin ['A', 0.21, {'G', 'A', 'E'}, 'A']
Am_classical_AfonsoLemos_-04.wav Amin ['Amin', 0.18, {'A', 'C', 'E'}, 'A']
Am_classical_henrique_1.wav Amin ['B', 0.6, {'B', 'C', 'E'}, 'B']
Am_classical_henrique_2.wav Amin ['Amin', 0.29, {'A', 'C', 'E'}, 'C']
Am_classical_henrique_3.wav Amin ['Amin', 0.44, {'A', 'C', 'E'}, 'E']
Am_classical_henrique_4.wav Amin ['Amin', 0.94, {'A', 'C', 'E'}, 'A']
Am_electric_Isabel_1.wav Amin ['Amin', 0.75, {'A', 'C', 'E'}, 'A']
Am_electric_Isabel_2.wav Amin ['Amin', 0.83, {'A', 'C', 'E'}, 'C']
Am_electric_Isabel_3.wav Amin ['Amin', 0.35, {'A', 'C', 'E'}, 'A']
Am_electric_Isabel_4.wav Amin ['Amin', 0.33, {'A', 'C', 'E'}, 'A']
Am_eletricguitar_Mari_1.wav Amin ['Amin', 0.43, {'A', 'C', 'E'}, 'E']
Am_eletricguitar_Mari_2.wav Amin ['Amin', 0.43, {'A', 'C', 'E'}, 'E']
Am_eletricguitar_Mari_3.wav Amin ['Amin', 0.82, {'A', 'C', 'E'}, 'E']
Am_eletricguitar_Mari_4.wav Amin ['Amin', 0.31, {'A', 'C', 'E'}, 'E']
Bb_AcusticPlug26_1.wav Bbmaj ['Bbmaj', 0.73, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug26_2.wav Bbmaj ['Bbmaj', 0.66, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug26_3.wav Bbmaj ['Bbmaj', 0.62, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug26_4.wav Bbmaj ['Bbmaj', 0.76, {'Bb', 'F', 'D'}, 'F']
Bb_AcusticPlug27_1.wav Bbmaj ['Bbmaj', 0.7, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug27_2.wav Bbmaj ['Bbmaj', 0.51, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug27_3.wav Bbmaj ['Bbmaj', 0.35, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug27_4.wav Bbmaj ['Bbmaj', 0.41, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug28_1.wav Bbmaj ['Bbmaj', 0.69, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug28_2.wav Bbmaj ['Bbmaj', 0.54, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug28_3.wav Bbmaj ['Bbmaj', 0.63, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug28_4.wav Bbmaj ['Bbmaj', 0.83, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug29_1.wav Bbmaj ['Bbmaj', 0.49, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug29_2.wav Bbmaj ['Bbmaj', 0.38, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug29_3.wav Bbmaj ['Bbmaj', 0.57, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug29_4.wav Bbmaj ['Bbmaj', 0.66, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug30_1.wav Bbmaj ['Bbmaj', 0.98, {'Bb', 'F', 'D'}, '']
Bb_AcusticPlug30_2.wav Bbmaj ['Bbmaj', 0.68, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug30_3.wav Bbmaj ['Bbmaj', 0.89, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug30_4.wav Bbmaj ['Bbmaj', 0.76, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticVince_JO_1.wav Bbmaj ['Bbmaj', 0.48, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticVince_JO_2.wav Bbmaj ['Bbmaj', 0.37, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticVince_JO_3.wav Bbmaj ['Bbmaj', 0.47, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticVince_JO_4.wav Bbmaj ['Bbmaj', 0.58, {'Bb', 'F', 'D'}, 'Bb']
Bb_ClassicVince_JO_1.wav Bbmaj ['Bbmaj', 0.57, {'Bb', 'F', 'D'}, 'Bb']
Bb_ClassicVince_JO_2.wav Bbmaj ['Bbmaj', 0.81, {'Bb', 'F', 'D'}, 'D']
Bb_ClassicVince_JO_3.wav Bbmaj ['Bbmaj', 0.87, {'Bb', 'F', 'D'}, '']
Bb_ClassicVince_JO_4.wav Bbmaj ['Bbmaj', 0.64, {'Bb', 'F', 'D'}, 'D']
Bb_Classic_Jo_1.wav Bbmaj ['Bbmaj', 0.32, {'Bb', 'F', 'D'}, 'Bb']
Bb_Classic_Jo_2.wav Bbmaj ['Bbmaj', 0.2, {'Bb', 'F', 'D'}, 'Bb']
Bb_Classic_Jo_3.wav Bbmaj ['Bbmaj', 0.78, {'Bb', 'F', 'D'}, 'Bb']
Bb_Classic_Jo_4.wav Bbmaj ['Bbmaj', 0.23, {'Bb', 'F', 'D'}, 'Bb']
Bb_Electric1_LInda_1.wav Bbmaj ['Gb', 0.74, {'G', 'Gb', 'C'}, 'Gb']
Bb_Electric1_LInda_2.wav Bbmaj ['Bb', 0.75, {'Bb', 'Gb', 'C'}, 'Bb']
Bb_Electric1_LInda_3.wav Bbmaj ['C', 0.69, {'Bb', 'A', 'C'}, 'C']
Bb_Electric1_LInda_4.wav Bbmaj ['Gbdim', 0.58, {'Gb', 'C', 'A'}, 'Gb']
Bb_Electric2_LInda_1.wav Bbmaj ['Gbdim', 0.66, {'Gb', 'C', 'A'}, 'Gb']
Bb_Electric2_LInda_2.wav Bbmaj ['Gb', 0.61, {'Gb', 'C', 'D'}, 'Gb']
Bb_Electric2_LInda_3.wav Bbmaj ['D', 0.89, {'Gb', 'C', 'D'}, 'D']
Bb_Electric2_LInda_4.wav Bbmaj ['Gb', 0.89, {'G', 'Gb', 'A'}, 'Gb']
Bb_AcousticGuitar_RodrigoMercador_1.wav Bbmaj ['Bbmaj', 0.51, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcousticGuitar_RodrigoMercador_2.wav Bbmaj ['Bbmaj', 0.23, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcousticGuitar_RodrigoMercador_3.wav Bbmaj ['Bbmaj', 0.38, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcousticGuitar_RodrigoMercador_4.wav Bbmaj ['Bbmaj', 0.44, {'Bb', 'F', 'D'}, 'Bb']
Bb_AcusticPlug10_1.wav Bbmaj ['Bbmaj', 0.76, {'Bb', 'F', 'D'}, 'D']
Bb_AcusticPlug10_2.wav Bbmaj ['Bbmaj', 0.59, {'Bb', 'F', 'D'}, 'Bb']
