aPTD dataset FFT analysis.

File name | Correct chord | Prediction info (chord prediction, threshold, detected notes, strong note)

piano_4_Gn_n_m_04.wav Gmin ['Gmin', 0.31, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_m_12.wav Gmin ['Gmin', 0.38, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_39.wav Gmin ['Gmin', 0.44, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_f_37.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_23.wav Gmin ['Gmin', 0.23, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_m_30.wav Gmin ['Gmin', 0.5, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_24.wav Gmin ['Gmin', 0.54, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_27.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_33.wav Gmin ['Gmin', 0.27, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_18.wav Gmin ['Gmin', 0.5, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_m_16.wav Gmin ['Gmin', 0.23, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_m_02.wav Gmin ['Gmin', 0.33, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_p_23.wav Gmin ['Gmin', 0.34, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_p_37.wav Gmin ['Gmin', 0.3, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_36.wav Gmin ['Gmin', 0.23, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_22.wav Gmin ['Gmin', 0.34, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_m_03.wav Gmin ['Gmin', 0.3, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_m_17.wav Gmin ['Gmin', 0.26, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_f_32.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_19.wav Gmin ['Gmin', 0.44, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_26.wav Gmin ['Gmin', 0.32, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_25.wav Gmin ['Gmin', 0.51, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_31.wav Gmin ['Gmin', 0.57, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_f_22.wav Gmin ['Gmin', 0.29, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_36.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_m_13.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_38.wav Gmin ['Gmin', 0.54, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_07.wav Gmin ['Gmin', 0.32, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_04.wav Gmin ['Gmin', 0.65, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_10.wav Gmin ['Gmin', 0.56, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_p_26.wav Gmin ['Gmin', 0.16, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_32.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_p_00.wav Gmin ['Gmin', 0.5, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_14.wav Gmin ['Gmin', 0.52, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_28.wav Gmin ['Gmin', 0.49, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_02.wav Gmin ['Gmin', 0.59, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_16.wav Gmin ['Gmin', 0.53, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_p_24.wav Gmin ['Gmin', 0.33, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_30.wav Gmin ['Gmin', 0.4, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_18.wav Gmin ['Gmin', 0.37, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_f_06.wav Gmin ['Gmin', 0.65, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_39.wav Gmin ['Gmin', 0.29, {'G', 'D', 'Bb'}, '']
piano_5_Gn_n_f_12.wav Gmin ['Gmin', 0.6, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_11.wav Gmin ['Gmin', 0.36, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_05.wav Gmin ['Gmin', 0.3, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_08.wav Gmin ['Gmin', 0.26, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_20.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_34.wav Gmin ['Gmin', 0.27, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_m_27.wav Gmin ['Gmin', 0.49, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_18.wav Gmin ['Gmin', 0.31, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_33.wav Gmin ['Gmin', 0.45, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_30.wav Gmin ['Gmin', 0.29, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_24.wav Gmin ['Gmin', 0.31, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_m_29.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_m_01.wav Gmin ['Gmin', 0.28, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_m_15.wav Gmin ['Gmin', 0.31, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_p_34.wav Gmin ['Gmin', 0.22, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_20.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_p_08.wav Gmin ['Gmin', 0.12, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_09.wav Gmin ['Gmin', 0.2, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_21.wav Gmin ['Gmin', 0.28, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_p_35.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_m_14.wav Gmin ['Gmin', 0.31, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_m_00.wav Gmin ['Gmin', 0.33, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_m_28.wav Gmin ['Gmin', 0.26, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_f_25.wav Gmin ['Gmin', 0.28, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_31.wav Gmin ['Gmin', 0.34, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_19.wav Gmin ['Gmin', 0.3, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_32.wav Gmin ['Gmin', 0.57, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_26.wav Gmin ['Gmin', 0.55, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_f_35.wav Gmin ['Gmin', 0.27, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_21.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_09.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_m_04.wav Gmin ['Gmin', 0.34, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_10.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_38.wav Gmin ['Gmin', 0.21, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_13.wav Gmin ['Gmin', 0.49, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_07.wav Gmin ['Gmin', 0.53, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_p_19.wav Gmin ['Gmin', 0.36, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_31.wav Gmin ['Gmin', 0.38, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_25.wav Gmin ['Gmin', 0.34, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_p_17.wav Gmin ['Gmin', 0.49, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_03.wav Gmin ['Gmin', 0.46, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_64.wav Gmin ['Gmin', 0.52, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_70.wav Gmin ['Gmin', 0.5, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_58.wav Gmin ['Gmin', 0.49, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_p_81.wav Gmin ['Gmin', 0.38, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_95.wav Gmin ['Gmin', 0.34, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_42.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_56.wav Gmin ['Gmin', 0.16, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_85.wav Gmin ['Gmin', 0.26, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_m_77.wav Gmin ['Gmin', 0.32, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_63.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_f_91.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_f_48.wav Gmin ['Gmin', 0.54, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_60.wav Gmin ['Gmin', 0.56, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_74.wav Gmin ['Gmin', 0.65, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_f_46.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_52.wav Gmin ['Gmin', 0.29, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_m_88.wav Gmin ['Gmin', 0.21, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_56.wav Gmin ['Gmin', 0.32, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_42.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_69.wav Gmin ['Gmin', 0.44, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_41.wav Gmin ['Gmin', 0.57, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_m_98.wav Gmin ['Gmin', 0.26, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_m_55.wav Gmin ['Gmin', 0.51, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_m_67.wav Gmin ['Gmin', 0.26, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_f_95.wav Gmin ['Gmin', 0.28, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_81.wav Gmin ['Gmin', 0.33, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_m_73.wav Gmin ['Gmin', 0.3, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_m_82.wav Gmin ['Gmin', 0.57, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_96.wav Gmin ['Gmin', 0.55, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_52.wav Gmin ['Gmin', 0.34, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_46.wav Gmin ['Gmin', 0.23, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_91.wav Gmin ['Gmin', 0.28, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_p_85.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_84.wav Gmin ['Gmin', 0.22, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_90.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_p_47.wav Gmin ['Gmin', 0.3, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_53.wav Gmin ['Gmin', 0.34, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_m_97.wav Gmin ['Gmin', 0.49, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_83.wav Gmin ['Gmin', 0.45, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_80.wav Gmin ['Gmin', 0.29, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_m_72.wav Gmin ['Gmin', 0.33, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_m_66.wav Gmin ['Gmin', 0.23, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_f_94.wav Gmin ['Gmin', 0.32, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_54.wav Gmin ['Gmin', 0.54, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_m_99.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_m_40.wav Gmin ['Gmin', 0.5, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_43.wav Gmin ['Gmin', 0.27, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_68.wav Gmin ['Gmin', 0.5, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_57.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_89.wav Gmin ['Gmin', 0.29, {'G', 'D', 'Bb'}, '']
piano_4_Gn_n_f_53.wav Gmin ['Gmin', 0.23, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_47.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_f_75.wav Gmin ['Gmin', 0.6, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_61.wav Gmin ['Gmin', 0.61, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_62.wav Gmin ['Gmin', 0.38, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_49.wav Gmin ['Gmin', 0.44, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_f_90.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_84.wav Gmin ['Gmin', 0.27, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_m_76.wav Gmin ['Gmin', 0.3, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_p_57.wav Gmin ['Gmin', 0.4, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_43.wav Gmin ['Gmin', 0.38, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_94.wav Gmin ['Gmin', 0.33, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_80.wav Gmin ['Gmin', 0.4, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_p_59.wav Gmin ['Gmin', 0.46, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_71.wav Gmin ['Gmin', 0.52, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_65.wav Gmin ['Gmin', 0.51, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_73.wav Gmin ['Gmin', 0.46, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_67.wav Gmin ['Gmin', 0.49, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_p_96.wav Gmin ['Gmin', 0.16, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_82.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_69.wav Gmin ['Gmin', 0.36, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_55.wav Gmin ['Gmin', 0.34, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_41.wav Gmin ['Gmin', 0.38, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_p_98.wav Gmin ['Gmin', 0.49, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_f_92.wav Gmin ['Gmin', 0.29, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_m_60.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_74.wav Gmin ['Gmin', 0.34, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_f_86.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_f_77.wav Gmin ['Gmin', 0.53, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_48.wav Gmin ['Gmin', 0.21, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_63.wav Gmin ['Gmin', 0.49, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_88.wav Gmin ['Gmin', 0.54, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_f_51.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_45.wav Gmin ['Gmin', 0.27, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_79.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_f_41.wav Gmin ['Gmin', 0.34, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_55.wav Gmin ['Gmin', 0.28, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_56.wav Gmin ['Gmin', 0.55, {'G', 'D', 'Bb'}, 'Bb']
