aPTD DimAug dataset FFT analysis.

File name | Correct chord | Prediction info (chord prediction, threshold, detected notes, strong note)

piano_3_Af_d_f_46.wav Abdim ['Abdim', 0.28, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_m_46.wav Abdim ['Abdim', 0.54, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_m_52.wav Abdim ['Abdim', 0.52, {'D', 'B', 'Ab'}, 'Ab']
piano_3_Af_d_f_79.wav Abdim ['Abdim', 0.29, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_96.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_82.wav Abdim ['Abdim', 0.33, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_69.wav Abdim ['Abdim', 0.41, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_55.wav Abdim ['Abdim', 0.29, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_41.wav Abdim ['Abdim', 0.39, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_40.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, '']
piano_3_Af_d_p_54.wav Abdim ['Abdim', 0.38, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_68.wav Abdim ['Abdim', 0.45, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_83.wav Abdim ['Abdim', 0.36, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_97.wav Abdim ['Abdim', 0.3, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_m_53.wav Abdim ['Abdim', 0.61, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_78.wav Abdim ['Abdim', 0.26, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_m_47.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, 'Ab']
piano_3_Af_d_f_44.wav Abdim ['Abdim', 0.25, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_50.wav Abdim ['Abdim', 0.26, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_m_90.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_m_49.wav Abdim ['Abdim', 0.38, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_m_84.wav Abdim ['Abdim', 0.58, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_m_75.wav Abdim ['Abdim', 0.38, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_87.wav Abdim ['Abdim', 0.28, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_93.wav Abdim ['Abdim', 0.24, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_m_61.wav Abdim ['Abdim', 0.32, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_f_72.wav Abdim ['Abdim', 0.42, {'D', 'B', 'Ab'}, 'Ab']
piano_3_Af_d_m_59.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_f_66.wav Abdim ['Abdim', 0.34, {'D', 'B', 'Ab'}, '']
piano_4_Af_d_f_97.wav Abdim ['Abdim', 0.28, {'D', 'B', 'Ab'}, 'D']
piano_3_Af_d_m_65.wav Abdim ['Abdim', 0.34, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_m_71.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_f_83.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_f_68.wav Abdim ['Abdim', 0.3, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_f_54.wav Abdim ['Abdim', 0.3, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_f_40.wav Abdim ['Abdim', 0.26, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_f_99.wav Abdim ['Abdim', 0.34, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_p_93.wav Abdim ['Abdim', 0.67, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_p_87.wav Abdim ['Abdim', 0.45, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_p_76.wav Abdim ['Abdim', 0.51, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_p_62.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_p_89.wav Abdim ['Abdim', 0.51, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_p_50.wav Abdim ['Abdim', 0.54, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_44.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_78.wav Abdim ['Abdim', 0.29, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_p_99.wav Abdim ['Abdim', 0.51, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_p_40.wav Abdim ['Abdim', 0.54, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_54.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_68.wav Abdim ['Abdim', 0.29, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_83.wav Abdim ['Abdim', 0.67, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_p_97.wav Abdim ['Abdim', 0.45, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_p_66.wav Abdim ['Abdim', 0.51, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_p_72.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_f_78.wav Abdim ['Abdim', 0.3, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_f_44.wav Abdim ['Abdim', 0.3, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_f_50.wav Abdim ['Abdim', 0.26, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_f_89.wav Abdim ['Abdim', 0.34, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_f_62.wav Abdim ['Abdim', 0.42, {'D', 'B', 'Ab'}, 'Ab']
piano_3_Af_d_m_49.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_f_76.wav Abdim ['Abdim', 0.34, {'D', 'B', 'Ab'}, '']
piano_4_Af_d_f_87.wav Abdim ['Abdim', 0.28, {'D', 'B', 'Ab'}, 'D']
piano_3_Af_d_m_75.wav Abdim ['Abdim', 0.34, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_m_61.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_f_93.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_m_80.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_m_59.wav Abdim ['Abdim', 0.38, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_m_94.wav Abdim ['Abdim', 0.58, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_m_65.wav Abdim ['Abdim', 0.38, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_97.wav Abdim ['Abdim', 0.28, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_83.wav Abdim ['Abdim', 0.24, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_m_71.wav Abdim ['Abdim', 0.32, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_m_43.wav Abdim ['Abdim', 0.61, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_68.wav Abdim ['Abdim', 0.26, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_m_57.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, 'Ab']
piano_3_Af_d_f_54.wav Abdim ['Abdim', 0.25, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_40.wav Abdim ['Abdim', 0.26, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_93.wav Abdim ['Abdim', 0.36, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_87.wav Abdim ['Abdim', 0.3, {'D', 'B', 'Ab'}, 'D']
piano_3_Af_d_p_50.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, '']
piano_3_Af_d_p_44.wav Abdim ['Abdim', 0.38, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_78.wav Abdim ['Abdim', 0.45, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_79.wav Abdim ['Abdim', 0.41, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_45.wav Abdim ['Abdim', 0.29, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_51.wav Abdim ['Abdim', 0.39, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_86.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_92.wav Abdim ['Abdim', 0.33, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_41.wav Abdim ['Abdim', 0.25, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_55.wav Abdim ['Abdim', 0.27, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_m_56.wav Abdim ['Abdim', 0.54, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_m_42.wav Abdim ['Abdim', 0.52, {'D', 'B', 'Ab'}, 'Ab']
piano_3_Af_d_f_69.wav Abdim ['Abdim', 0.29, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_82.wav Abdim ['Abdim', 0.25, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_m_70.wav Abdim ['Abdim', 0.41, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_m_64.wav Abdim ['Abdim', 0.27, {'D', 'B', 'Ab'}, 'D']
piano_3_Af_d_f_96.wav Abdim ['Abdim', 0.28, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_m_95.wav Abdim ['Abdim', 0.56, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_m_58.wav Abdim ['Abdim', 0.48, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_m_81.wav Abdim ['Abdim', 0.62, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_m_60.wav Abdim ['Abdim', 0.35, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_f_92.wav Abdim ['Abdim', 0.3, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_f_86.wav Abdim ['Abdim', 0.27, {'D', 'B', 'Ab'}, 'D']
piano_3_Af_d_m_74.wav Abdim ['Abdim', 0.34, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_f_77.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_f_63.wav Abdim ['Abdim', 0.38, {'D', 'B', 'Ab'}, 'Ab']
piano_3_Af_d_m_48.wav Abdim ['Abdim', 0.29, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_f_88.wav Abdim ['Abdim', 0.26, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_f_51.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_f_45.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_f_79.wav Abdim ['Abdim', 0.26, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_p_73.wav Abdim ['Abdim', 0.58, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_p_67.wav Abdim ['Abdim', 0.48, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_p_96.wav Abdim ['Abdim', 0.59, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_82.wav Abdim ['Abdim', 0.51, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_69.wav Abdim ['Abdim', 0.29, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_55.wav Abdim ['Abdim', 0.42, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_41.wav Abdim ['Abdim', 0.5, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_p_98.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_p_57.wav Abdim ['Abdim', 0.45, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_43.wav Abdim ['Abdim', 0.67, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_p_94.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_80.wav Abdim ['Abdim', 0.54, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_p_59.wav Abdim ['Abdim', 0.51, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_p_71.wav Abdim ['Abdim', 0.57, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_p_65.wav Abdim ['Abdim', 0.52, {'D', 'B', 'Ab'}, 'Ab']
piano_3_Af_d_m_89.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_f_53.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_f_47.wav Abdim ['Abdim', 0.28, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_f_75.wav Abdim ['Abdim', 0.3, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_f_61.wav Abdim ['Abdim', 0.43, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_f_49.wav Abdim ['Abdim', 0.34, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_f_90.wav Abdim ['Abdim', 0.26, {'D', 'B', 'Ab'}, 'D']
piano_3_Af_d_m_62.wav Abdim ['Abdim', 0.32, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_m_76.wav Abdim ['Abdim', 0.34, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_f_84.wav Abdim ['Abdim', 0.3, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_m_97.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_m_83.wav Abdim ['Abdim', 0.61, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_m_72.wav Abdim ['Abdim', 0.38, {'D', 'B', 'Ab'}, 'D']
piano_3_Af_d_f_80.wav Abdim ['Abdim', 0.26, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_94.wav Abdim ['Abdim', 0.25, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_m_66.wav Abdim ['Abdim', 0.34, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_m_54.wav Abdim ['Abdim', 0.58, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_m_99.wav Abdim ['Abdim', 0.38, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_m_40.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_m_68.wav Abdim ['Abdim', 0.53, {'D', 'B', 'Ab'}, 'Ab']
piano_3_Af_d_f_43.wav Abdim ['Abdim', 0.25, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_57.wav Abdim ['Abdim', 0.28, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_84.wav Abdim ['Abdim', 0.38, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_90.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, '']
piano_3_Af_d_p_47.wav Abdim ['Abdim', 0.3, {'D', 'B', 'Ab'}, 'D']
piano_3_Af_d_p_53.wav Abdim ['Abdim', 0.36, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_52.wav Abdim ['Abdim', 0.33, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_46.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_91.wav Abdim ['Abdim', 0.39, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_p_85.wav Abdim ['Abdim', 0.29, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_f_56.wav Abdim ['Abdim', 0.28, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_m_69.wav Abdim ['Abdim', 0.55, {'D', 'B', 'Ab'}, 'Ab']
piano_3_Af_d_f_42.wav Abdim ['Abdim', 0.25, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_m_41.wav Abdim ['Abdim', 0.62, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_m_98.wav Abdim ['Abdim', 0.48, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_m_55.wav Abdim ['Abdim', 0.56, {'D', 'B', 'Ab'}, 'Ab']
piano_3_Af_d_f_95.wav Abdim ['Abdim', 0.27, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_m_67.wav Abdim ['Abdim', 0.29, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_m_73.wav Abdim ['Abdim', 0.26, {'D', 'B', 'Ab'}, 'D']
piano_3_Af_d_f_81.wav Abdim ['Abdim', 0.25, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_m_82.wav Abdim ['Abdim', 0.52, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_m_96.wav Abdim ['Abdim', 0.54, {'D', 'B', 'Ab'}, 'Ab']
piano_3_Af_d_m_77.wav Abdim ['Abdim', 0.36, {'D', 'B', 'Ab'}, 'B']
piano_4_Af_d_f_85.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_f_91.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_f_48.wav Abdim ['Abdim', 0.26, {'D', 'B', 'Ab'}, 'B']
piano_3_Af_d_m_63.wav Abdim ['Abdim', 0.35, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_f_60.wav Abdim ['Abdim', 0.36, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_f_74.wav Abdim ['Abdim', 0.47, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_f_46.wav Abdim ['Abdim', 0.27, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_f_52.wav Abdim ['Abdim', 0.3, {'D', 'B', 'Ab'}, 'D']
piano_3_Af_d_m_88.wav Abdim ['Abdim', 0.29, {'D', 'B', 'Ab'}, 'B']
piano_5_Af_d_p_64.wav Abdim ['Abdim', 0.52, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_p_70.wav Abdim ['Abdim', 0.44, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_p_58.wav Abdim ['Abdim', 0.49, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_p_81.wav Abdim ['Abdim', 0.5, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_95.wav Abdim ['Abdim', 0.42, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_42.wav Abdim ['Abdim', 0.51, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_56.wav Abdim ['Abdim', 0.59, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_19.wav Abdim ['Abdim', 0.29, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_31.wav Abdim ['Abdim', 0.5, {'D', 'B', 'Ab'}, 'D']
piano_4_Af_d_p_25.wav Abdim ['Abdim', 0.42, {'D', 'B', 'Ab'}, 'D']
piano_5_Af_d_p_17.wav Abdim ['Abdim', 0.48, {'D', 'B', 'Ab'}, 'Ab']
piano_5_Af_d_p_03.wav Abdim ['Abdim', 0.58, {'D', 'B', 'Ab'}, 'Ab']
piano_4_Af_d_f_35.wav Abdim ['Abdim', 0.31, {'D', 'B', 'Ab'}, 'D']
