Amin ['Amin', 0.46, {'A', 'E', 'C'}, 'E']
Bbmaj ['Bbmaj', 0.69, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.77, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.3, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.33, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.39, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.29, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.59, {'Bb', 'D', 'F'}, '']
Bbmaj ['Bbmaj', 0.45, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.39, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.41, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.52, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.48, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.43, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.46, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.82, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.75, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.49, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.6, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.54, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.62, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.44, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.53, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.61, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.59, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.46, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.51, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.74, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.65, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.67, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bb', 0.69, {'Bb', 'D', 'C'}, 'Bb']
Bbmaj ['Bbmaj', 0.68, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.6, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.69, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.62, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.84, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.68, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.79, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.92, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.93, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.7, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.87, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.67, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.79, {'Bb', 'D', 'F'}, '']
Bbmaj ['Bbmaj', 0.58, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.76, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.92, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.71, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.5, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.58, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.9, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.66, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.45, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.4, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.68, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bb', 0.64, {'Bb', 'D', 'C'}, 'Bb']
Bbmaj ['Bb', 0.82, {'Bb', 'D', 'Ab'}, 'Bb']
Bbmaj ['Fsus4', 0.56, {'Bb', 'F', 'C'}, 'F']
Bbmaj ['Bb', 0.83, {'Bb', 'D', 'C'}, 'Bb']
Bbmaj ['Bbmaj', 0.32, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.18, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.34, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.24, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.54, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.68, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.6, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.53, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.65, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bb', 0.39, {'Bb', 'D', 'E'}, 'Bb']
Bbmaj ['Bbmaj', 0.44, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.44, {'Bb', 'D', 'F'}, 'Bb']
