Adim ['Adim', 0.49, {'A', 'Eb', 'C'}, 'Eb']
Bbdim ['Bbdim', 0.14, {'Db', 'E', 'Bb'}, 'E']
Bbdim ['Bbdim', 0.3, {'Db', 'E', 'Bb'}, 'E']
Bbdim ['Bbdim', 0.3, {'Db', 'E', 'Bb'}, 'E']
Bbdim ['Bbdim', 0.56, {'Db', 'E', 'Bb'}, 'E']
Bbmaj ['Bbmaj', 0.3, {'D', 'F', 'Bb'}, 'F']
Bbmaj ['Bbmaj', 0.61, {'D', 'F', 'Bb'}, 'Bb']
Bbmaj ['Bbmaj', 0.77, {'D', 'F', 'Bb'}, 'Bb']
Bbmaj ['F', 0.6, {'A', 'F', 'Bb'}, 'F']
Bbmaj ['F', 0.62, {'A', 'F', 'Bb'}, 'F']
Bbmaj ['Bbmaj', 0.65, {'D', 'F', 'Bb'}, 'F']
Bbmaj ['Bbmaj', 0.45, {'D', 'F', 'Bb'}, 'F']
Bbmaj ['Bbmaj', 0.48, {'D', 'F', 'Bb'}, 'F']
Bbmaj ['Bbmaj', 0.15, {'D', 'F', 'Bb'}, 'F']
Bbmaj ['Bbmaj', 0.37, {'D', 'F', 'Bb'}, 'F']
Bbmaj ['Bbmaj', 0.37, {'D', 'F', 'Bb'}, 'F']
Bbmaj ['Bbmaj', 0.59, {'D', 'F', 'Bb'}, 'F']
Bbmin ['Bbmin', 0.3, {'Db', 'F', 'Bb'}, 'F']
Bbmin ['Db', 0.57, {'Db', 'D', 'Bb'}, 'Db']
Bbmin ['Bbmin', 0.55, {'Db', 'F', 'Bb'}, 'Db']
Bbmin ['Bbmin', 0.62, {'Db', 'F', 'Bb'}, 'F']
Bbmin ['Bbmin', 0.64, {'Db', 'F', 'Bb'}, 'F']
Bbmin ['Bbmin', 0.64, {'Db', 'F', 'Bb'}, 'F']
Bbmin ['Bbmin', 0.44, {'Db', 'F', 'Bb'}, 'F']
Bbmin ['Bbmin', 0.57, {'Db', 'F', 'Bb'}, 'F']
Bbmin ['Fsus4', 0.14, {'Db', 'C', 'F', 'Bb'}, 'F']
Bbmin ['Bbmin', 0.35, {'Db', 'F', 'Bb'}, 'F']
Bbmin ['Bbmin', 0.35, {'Db', 'F', 'Bb'}, 'F']
Bbmin ['Bbmin', 0.57, {'Db', 'F', 'Bb'}, 'F']
Bdim ['Bdim', 0.28, {'B', 'D', 'F'}, 'F']
Bdim ['Bdim', 0.5, {'B', 'D', 'F'}, 'B']
Bdim ['Bdim', 0.51, {'B', 'D', 'F'}, 'B']
Bdim ['', 0.62, {'B', 'A', 'F'}, '']
Failed to process D:\kaggle\Piano Triads Waveset\piano_triads_Evaluation\Bdim\B_dim_3_0.wav: string index out of range
Bdim ['F', 0.62, {'B', 'A', 'F'}, 'F']
Bdim ['Bdim', 0.82, {'B', 'D', 'F'}, 'F']
Bdim ['Bdim', 0.69, {'B', 'D', 'F'}, 'F']
Bdim ['Bdim', 0.48, {'B', 'D', 'F'}, 'F']
Bdim ['F', 0.14, {'D', 'C', 'F'}, 'F']
Bdim ['Bdim', 0.37, {'B', 'D', 'F'}, 'F']
Bdim ['Bdim', 0.33, {'B', 'D', 'F'}, 'F']
Bdim ['Bdim', 0.51, {'B', 'D', 'F'}, 'F']
Bmaj ['Gbsus4', 0.46, {'B', 'Db', 'Gb', 'F'}, 'B']
Bmaj ['Gbsus4', 0.45, {'B', 'Db', 'Gb'}, 'B']
Bmaj ['B', 0.58, {'B', 'Eb', 'Bb'}, 'B']
Bmaj ['B', 0.7, {'B', 'Eb', 'Bb'}, 'B']
Bmaj ['Bmaj', 0.45, {'B', 'Eb', 'Gb'}, 'Eb']
Bmaj ['Bmaj', 0.45, {'B', 'Eb', 'Gb'}, 'Eb']
Bmaj ['Bmaj', 0.29, {'B', 'Eb', 'Gb'}, 'B']
Bmaj ['Bmaj', 0.27, {'B', 'Eb', 'Gb'}, 'Eb']
Bmaj ['Bmaj', 0.5, {'B', 'Gb', 'Eb'}, 'Gb']
Bmaj ['Bmaj', 0.47, {'B', 'Gb', 'Eb'}, 'Gb']
Bmaj ['Bmaj', 0.5, {'B', 'Eb', 'Gb'}, 'Eb']
Bmaj ['Bmaj', 0.27, {'B', 'Eb', 'Gb'}, 'Eb']
Bmin ['Bmin', 0.49, {'B', 'Gb', 'D'}, 'B']
Bmin ['Bmin', 0.49, {'B', 'Gb', 'D'}, 'B']
Bmin ['B', 0.58, {'B', 'D', 'A'}, 'B']
Bmin ['B', 0.7, {'B', 'D', 'A'}, 'B']
Bmin ['Bmin', 0.59, {'B', 'D', 'Gb'}, 'B']
Bmin ['Bmin', 0.6, {'B', 'D', 'Gb'}, 'D']
Bmin ['Bmin', 0.28, {'B', 'D', 'Gb'}, 'B']
Bmin ['Bmin', 0.27, {'B', 'D', 'Gb'}, 'D']
Bmin ['Bmin', 0.52, {'B', 'Gb', 'D'}, 'Gb']
Bmin ['Bmin', 0.47, {'B', 'D', 'Gb'}, 'Gb']
Bmin ['Bmin', 0.83, {'B', 'D', 'Gb'}, 'D']
Bmin ['Bmin', 0.45, {'B', 'D', 'Gb'}, 'D']
Dbdim ['Dbdim', 0.32, {'Db', 'G', 'E'}, 'E']
Dbdim ['Db', 0.78, {'B', 'Db', 'E', 'F'}, 'Db']
Dbdim ['Db', 0.61, {'B', 'Db', 'E'}, 'Db']
Dbdim ['Db', 0.35, {'Db', 'G', 'D'}, 'Db']
Dbdim ['G', 0.58, {'Db', 'G', 'Ab'}, 'G']
Dbdim ['E', 0.41, {'Db', 'D', 'E'}, 'E']
Dbdim ['E', 0.4, {'Db', 'D', 'E'}, 'E']
Dbdim ['Dbdim', 0.48, {'Db', 'G', 'E'}, 'E']
Dbdim ['Dbdim', 0.49, {'Db', 'G', 'E'}, 'E']
Dbdim ['Dbdim', 0.23, {'Db', 'G', 'E'}, 'E']
Dbdim ['Emin', 0.12, {'B', 'G', 'E'}, 'E']
Dbdim ['Dbdim', 0.3, {'Db', 'G', 'E'}, 'E']
Dbmaj ['Dbmaj', 0.38, {'Db', 'Ab', 'F'}, 'F']
Dbmaj ['C', 0.78, {'Db', 'Eb', 'C'}, 'C']
Dbmaj ['Db', 0.64, {'Db', 'C', 'F'}, 'Db']
Dbmaj ['Dbmaj', 0.46, {'Db', 'Ab', 'F'}, 'Db']
Dbmaj ['Dbmaj', 0.93, {'Db', 'Ab', 'F'}, 'Db']
Dbmaj ['Dbmaj', 0.68, {'Db', 'Ab', 'F'}, 'F']
Dbmaj ['Dbmaj', 0.71, {'Db', 'Ab', 'F'}, 'F']
Dbmaj ['Dbmaj', 0.43, {'Db', 'Ab', 'F'}, 'F']
Dbmaj ['Dbmaj', 0.43, {'Db', 'Ab', 'F'}, 'F']
Dbmaj ['Dbmaj', 0.17, {'Db', 'Ab', 'F'}, 'F']
Dbmaj ['Fmin', 0.14, {'Ab', 'C', 'F'}, 'F']
Dbmaj ['Dbmaj', 0.34, {'Db', 'Ab', 'F'}, 'F']
Dbmin ['Dbmin', 0.31, {'Db', 'Ab', 'E'}, 'E']
Dbmin ['Db', 0.8, {'B', 'Db', 'Eb'}, 'Db']
Dbmin ['Db', 0.63, {'B', 'Db', 'Eb'}, 'Db']
Dbmin ['Dbsus2', 0.45, {'Db', 'Eb', 'Ab'}, 'Db']
Dbmin ['Dbsus2', 0.77, {'Db', 'Eb', 'Ab'}, 'Db']
Dbmin ['Dbmin', 0.63, {'Db', 'Ab', 'E'}, 'E']
Dbmin ['Dbmin', 0.66, {'Db', 'Ab', 'E'}, 'E']
Dbmin ['Dbmin', 0.42, {'Db', 'Ab', 'E'}, 'E']
Dbmin ['Dbmin', 0.43, {'Db', 'Ab', 'E'}, 'E']
Dbmin ['Dbmin', 0.16, {'Db', 'Ab', 'E'}, 'E']
Dbmin ['Emaj', 0.12, {'B', 'Ab', 'E'}, 'E']
Dbmin ['Dbmin', 0.3, {'Db', 'Ab', 'E'}, 'E']
Cdim ['Cdim', 0.49, {'Gb', 'C', 'Eb'}, 'Gb']
Cdim ['C', 0.88, {'Db', 'Eb', 'C'}, 'C']
Cdim ['C', 0.82, {'Db', 'C', 'Bb'}, 'C']
Cdim ['C', 0.49, {'Db', 'Gb', 'C'}, 'C']
Cdim ['C', 0.64, {'Db', 'Gb', 'C'}, 'C']
Cdim ['C', 0.81, {'Eb', 'C', 'Bb'}, 'C']
Cdim ['C', 0.67, {'Eb', 'C', 'Bb'}, 'C']
Cdim ['Cdim', 0.45, {'Eb', 'C', 'Gb'}, 'Eb']
Cdim ['Cdim', 0.45, {'C', 'Eb', 'Gb'}, 'Eb']
Cdim ['Cdim', 0.33, {'Eb', 'C', 'Gb'}, 'C']
Cdim ['Cdim', 0.26, {'C', 'Eb', 'Gb'}, 'Eb']
Cdim ['Cdim', 0.5, {'Gb', 'C', 'Eb'}, 'Gb']
Cmaj ['Cmaj', 0.31, {'C', 'G', 'E'}, 'E']
Cmaj ['B', 0.89, {'B', 'G', 'C'}, 'B']
Cmaj ['C', 0.76, {'B', 'C', 'E'}, 'C']
Cmaj ['A', 0.87, {'A', 'Gb', 'E'}, 'A']
Cmaj ['Csus2', 0.57, {'G', 'D', 'C'}, 'G']
Cmaj ['Cmaj', 0.4, {'C', 'G', 'D', 'E'}, 'E']
Cmaj ['E', 0.41, {'C', 'D', 'E'}, 'E']
Cmaj ['Cmaj', 0.49, {'E', 'G', 'C'}, 'E']
Cmaj ['Cmaj', 0.49, {'C', 'G', 'E'}, 'E']
Cmaj ['Cmaj', 0.23, {'E', 'G', 'C'}, 'E']
Cmaj ['Cmaj', 0.12, {'B', 'C', 'G', 'E'}, 'E']
Cmaj ['Cmaj', 0.42, {'E', 'G', 'C'}, 'E']
Cmin ['Cmin', 0.57, {'G', 'C', 'Eb'}, 'G']
Cmin ['Cmin', 0.88, {'Eb', 'G', 'C', 'Bb'}, 'C']
Cmin ['C', 0.8, {'Eb', 'C', 'Bb'}, 'C']
Cmin ['C', 0.49, {'G', 'C', 'Gb'}, 'C']
Cmin ['Cmin', 0.58, {'G', 'C', 'Eb'}, 'G']
Cmin ['C', 0.83, {'Eb', 'C', 'Bb'}, 'C']
Cmin ['C', 0.68, {'Eb', 'C', 'Bb'}, 'C']
Cmin ['Cmin', 0.44, {'Eb', 'G', 'C'}, 'Eb']
Cmin ['Cmin', 0.44, {'Eb', 'G', 'C'}, 'Eb']
Cmin ['Cmin', 0.3, {'Eb', 'G', 'C'}, 'C']
Cmin ['Cmin', 0.27, {'Eb', 'G', 'C'}, 'Eb']
Cmin ['Cmin', 0.56, {'G', 'C', 'Eb'}, 'G']
Ddim ['Ddim', 0.38, {'D', 'Ab', 'F'}, 'F']
Ddim ['C', 0.78, {'Eb', 'C', 'F'}, 'C']
Ddim ['C', 0.78, {'Eb', 'C', 'F'}, 'C']
Ddim ['F', 0.8, {'Eb', 'Ab', 'F'}, 'F']
Ddim ['Dmin', 0.88, {'A', 'D', 'F'}, 'F']
Ddim ['F', 0.64, {'A', 'Ab', 'F'}, 'F']
Ddim ['Ddim', 0.7, {'D', 'Ab', 'F'}, 'F']
Ddim ['Ddim', 0.43, {'D', 'Ab', 'F'}, 'F']
Ddim ['Ddim', 0.37, {'D', 'Ab', 'F'}, 'F']
Ddim ['Ddim', 0.16, {'D', 'Ab', 'F'}, 'F']
Ddim ['Fmin', 0.14, {'Ab', 'C', 'F'}, 'F']
Ddim ['Ddim', 0.36, {'D', 'Ab', 'F'}, 'F']
Dmaj ['Dmaj', 0.56, {'A', 'Gb', 'D'}, 'Gb']
Dmaj ['Gbmin', 0.7, {'A', 'Db', 'Gb'}, 'Db']
Dmaj ['Gbmin', 0.56, {'A', 'Db', 'Gb'}, 'A']
Dmaj ['A', 0.87, {'A', 'Gb', 'E'}, 'A']
Dmaj ['Dmaj', 0.78, {'A', 'Gb', 'D'}, 'A']
Dmaj ['A', 0.7, {'A', 'Db', 'D'}, 'A']
Dmaj ['D', 0.58, {'A', 'Db', 'D'}, 'D']
Dmaj ['Dmaj', 0.48, {'A', 'D', 'Gb'}, 'D']
Dmaj ['Dmaj', 0.75, {'A', 'Gb', 'D'}, 'Gb']
Dmaj ['Dmaj', 0.32, {'A', 'D', 'Gb'}, 'D']
Dmaj ['Dmaj', 0.38, {'A', 'Gb', 'D'}, 'Gb']
Dmaj ['Dmaj', 0.52, {'A', 'Gb', 'D'}, 'Gb']
Dmin ['Dmin', 0.38, {'A', 'D', 'F'}, 'F']
Dmin ['Fmaj', 0.76, {'A', 'C', 'F'}, 'C']
Dmin ['Fmaj', 0.74, {'A', 'C', 'F'}, 'A']
Dmin ['A', 0.85, {'A', 'E', 'F'}, 'A']
Dmin ['Dmin', 0.79, {'A', 'D', 'F'}, 'A']
Dmin ['Dmin', 0.59, {'A', 'D', 'F'}, 'F']
Dmin ['Dmin', 0.66, {'A', 'D', 'F'}, 'F']
Dmin ['Dmin', 0.4, {'A', 'D', 'F'}, 'F']
Dmin ['Dmin', 0.37, {'A', 'D', 'F'}, 'F']
Dmin ['Dmin', 0.15, {'A', 'D', 'F'}, 'F']
Dmin ['Fmaj', 0.14, {'A', 'C', 'F'}, 'F']
Dmin ['Dmin', 0.37, {'A', 'D', 'F'}, 'F']
Ebdim ['Ebdim', 0.67, {'A', 'Gb', 'Eb'}, 'Gb']
Ebdim ['A', 0.75, {'A', 'Eb', 'Bb'}, 'A']
Ebdim ['Gbmin', 0.55, {'A', 'Db', 'Gb'}, 'A']
Ebdim ['A', 0.86, {'A', 'Gb', 'E'}, 'A']
Ebdim ['A', 0.95, {'A', 'Gb', 'Bb'}, 'A']
Ebdim ['A', 0.88, {'A', 'Eb', 'Bb'}, 'A']
Ebdim ['Eb', 0.43, {'A', 'Db', 'Eb'}, 'Eb']
Ebdim ['Ebdim', 0.36, {'A', 'Eb', 'Gb'}, 'Eb']
Ebdim ['Ebdim', 0.72, {'A', 'Gb', 'Eb'}, 'Gb']
Ebdim ['Ebdim', 0.33, {'A', 'Eb', 'Gb'}, 'Eb']
Ebdim ['Ebdim', 0.36, {'A', 'Gb', 'Eb'}, 'Gb']
Ebdim ['Ebdim', 0.5, {'A', 'Gb', 'Eb'}, 'Gb']
Ebmaj ['Ebmaj', 0.56, {'G', 'Eb', 'Bb'}, 'Eb']
Ebmaj ['Bb', 0.46, {'Eb', 'D', 'Bb'}, 'Bb']
Ebmaj ['Gmin', 0.52, {'G', 'D', 'Bb'}, 'Bb']
Ebmaj ['G', 0.76, {'G', 'F', 'Bb'}, 'G']
Ebmaj ['Ebmaj', 0.8, {'G', 'Eb', 'Bb'}, 'G']
Ebmaj ['Bb', 0.67, {'Eb', 'D', 'Bb'}, 'Bb']
Ebmaj ['Eb', 0.4, {'Eb', 'D', 'Bb'}, 'Eb']
Ebmaj ['Ebmaj', 0.4, {'Eb', 'G', 'Bb'}, 'Eb']
Ebmaj ['Ebmaj', 0.74, {'G', 'Eb', 'Bb'}, 'G']
Ebmaj ['Ebmaj', 0.31, {'Eb', 'G', 'Bb'}, 'Eb']
Ebmaj ['Ebmaj', 0.38, {'G', 'Eb', 'Bb'}, 'G']
Ebmaj ['Ebmaj', 0.56, {'G', 'Eb', 'Bb'}, 'G']
Ebmin ['Ebmin', 0.52, {'Gb', 'Eb', 'Bb'}, 'Gb']
Ebmin ['Bb', 0.53, {'Db', 'Eb', 'Bb'}, 'Bb']
Ebmin ['Bb', 0.63, {'Db', 'D', 'Bb'}, 'Bb']
Ebmin ['Bb', 0.85, {'Gb', 'F', 'Bb'}, 'Bb']
Ebmin ['Ebmin', 0.87, {'Gb', 'Eb', 'Bb'}, 'Bb']
Ebmin ['Bb', 0.72, {'Db', 'Eb', 'Bb'}, 'Bb']
Ebmin ['Eb', 0.43, {'Db', 'Eb', 'Bb'}, 'Eb']
Ebmin ['Ebmin', 0.41, {'Eb', 'Gb', 'Bb'}, 'Eb']
Ebmin ['Ebmin', 0.71, {'Gb', 'Eb', 'Bb'}, 'Gb']
Ebmin ['Ebmin', 0.3, {'Eb', 'Gb', 'Bb'}, 'Eb']
Ebmin ['Ebmin', 0.36, {'Gb', 'Eb', 'Bb'}, 'Gb']
Ebmin ['Ebmin', 0.5, {'Gb', 'Eb', 'Bb'}, 'Gb']
Edim ['Edim', 0.57, {'G', 'E', 'Bb'}, 'E']
Edim ['Bb', 0.7, {'B', 'E', 'Bb'}, 'Bb']
Edim ['Gmin', 0.52, {'G', 'D', 'Bb'}, 'Bb']
Edim ['G', 0.76, {'G', 'F', 'Bb'}, 'G']
Edim ['Edim', 0.6, {'G', 'E', 'Bb'}, 'E']
Edim ['E', 0.4, {'D', 'E', 'Bb'}, 'E']
Edim ['E', 0.44, {'D', 'E', 'Bb'}, 'E']
Edim ['Edim', 0.44, {'G', 'E', 'Bb'}, 'E']
Edim ['Edim', 0.54, {'G', 'E', 'Bb'}, 'E']
Edim ['Edim', 0.13, {'G', 'E', 'Bb'}, 'E']
Edim ['Edim', 0.46, {'G', 'E', 'Bb'}, 'E']
Edim ['Edim', 0.32, {'G', 'E', 'Bb'}, 'E']
Emaj ['Emaj', 0.49, {'B', 'Ab', 'E'}, 'E']
Emaj ['B', 0.69, {'B', 'Eb', 'E'}, 'B']
Emaj ['Abmin', 0.55, {'B', 'Eb', 'Ab'}, 'B']
Emaj ['Abmin', 0.52, {'B', 'Eb', 'Ab'}, 'B']
Emaj ['Emaj', 0.49, {'B', 'Ab', 'E'}, 'E']
Emaj ['Emaj', 0.64, {'B', 'Ab', 'E'}, 'E']
Emaj ['Emaj', 0.69, {'B', 'Ab', 'E'}, 'E']
Emaj ['Emaj', 0.42, {'B', 'Ab', 'E'}, 'E']
Emaj ['Emaj', 0.52, {'B', 'Ab', 'E'}, 'E']
Emaj ['Emaj', 0.14, {'B', 'Ab', 'E'}, 'E']
Emaj ['Emaj', 0.42, {'B', 'Ab', 'E'}, 'E']
Emaj ['Emaj', 0.28, {'B', 'Ab', 'E'}, 'E']
Emin ['Emin', 0.48, {'B', 'G', 'E'}, 'E']
Emin ['Emaj', 0.68, {'B', 'D', 'Ab', 'E'}, 'B']
Emin ['Gmaj', 0.55, {'B', 'G', 'D'}, 'B']
Emin ['Gmaj', 0.4, {'B', 'G', 'D'}, 'B']
Emin ['Emin', 0.67, {'B', 'G', 'E'}, 'E']
Emin ['E', 0.41, {'B', 'D', 'E'}, 'E']
Emin ['E', 0.45, {'B', 'D', 'E'}, 'E']
Emin ['Emin', 0.49, {'B', 'G', 'E'}, 'E']
Emin ['Emin', 0.61, {'B', 'G', 'E'}, 'E']
Emin ['Emin', 0.13, {'B', 'G', 'E'}, 'E']
Emin ['Emin', 0.41, {'B', 'G', 'E'}, 'E']
Emin ['Emin', 0.28, {'B', 'G', 'E'}, 'E']
Gbdim ['Gbdim', 0.74, {'A', 'Gb', 'C'}, 'A']
Gbdim ['A', 0.76, {'A', 'Db', 'C'}, 'A']
Gbdim ['A', 0.65, {'A', 'Db', 'C'}, 'A']
Gbdim ['Gbdim', 0.86, {'A', 'Gb', 'C'}, 'C']
Gbdim ['Amin', 0.78, {'A', 'C', 'E'}, 'C']
Gbdim ['C', 0.54, {'A', 'Db', 'C'}, 'C']
Gbdim ['Gbdim', 0.57, {'A', 'Gb', 'C'}, 'C']
Gbdim ['Gbdim', 0.64, {'A', 'Gb', 'C'}, 'C']
Gbdim ['Gbdim', 0.32, {'A', 'Gb', 'C'}, 'C']
Gbdim ['Gbdim', 0.48, {'A', 'Gb', 'C'}, 'Gb']
Gbdim ['Gbdim', 0.7, {'A', 'Gb', 'C'}, 'Gb']
Gbdim ['Gbdim', 0.5, {'A', 'Gb', 'C'}, 'Gb']
Gbmaj ['Gbmaj', 0.97, {'Db', 'Gb', 'Bb'}, 'Gb']
Gbmaj ['Bb', 0.63, {'Db', 'D', 'Bb'}, 'Bb']
Gbmaj ['Db', 0.57, {'Db', 'D', 'Bb'}, 'Db']
Gbmaj ['Gbmaj', 0.71, {'Db', 'Gb', 'Bb'}, 'Db']
Gbmaj ['Bbmin', 0.81, {'Db', 'F', 'Bb'}, 'Db']
Gbmaj ['Gbmaj', 0.47, {'Db', 'Gb', 'Bb'}, 'Db']
Gbmaj ['Gbmaj', 0.59, {'Db', 'Gb', 'Bb'}, 'Db']
Gbmaj ['Gbmaj', 0.69, {'Db', 'Gb', 'Bb'}, 'Db']
Gbmaj ['Gbmaj', 0.31, {'Db', 'Gb', 'Bb'}, 'Db']
Gbmaj ['Gbmaj', 0.35, {'Db', 'Gb', 'Bb'}, 'Gb']
Gbmaj ['Gbmaj', 0.51, {'Db', 'Gb', 'Bb'}, 'Gb']
Gbmaj ['Gbmaj', 0.52, {'Db', 'Gb', 'Bb'}, 'Gb']
Gbmin ['Gbmin', 0.8, {'A', 'Db', 'Gb'}, 'A']
Gbmin ['Gbmin', 0.56, {'A', 'Db', 'Gb'}, '']
Gbmin ['Gbmin', 0.52, {'A', 'Db', 'Gb'}, 'Db']
Gbmin ['Gbmin', 0.72, {'A', 'Db', 'Gb'}, 'Db']
Gbmin ['Amaj', 0.81, {'A', 'Db', 'E'}, 'Db']
Gbmin ['Gbmin', 0.47, {'A', 'Db', 'Gb'}, 'Db']
Gbmin ['Gbmin', 0.59, {'A', 'Db', 'Gb'}, 'Db']
Gbmin ['Gbmin', 0.62, {'A', 'Db', 'Gb'}, 'Db']
Gbmin ['Gbmin', 0.31, {'A', 'Db', 'Gb'}, 'Db']
Gbmin ['Gbmin', 0.36, {'A', 'Db', 'Gb'}, 'Gb']
Gbmin ['Gbmin', 0.52, {'A', 'Db', 'Gb'}, 'Gb']
Gbmin ['Gbmin', 0.53, {'A', 'Db', 'Gb'}, 'Gb']
Fdim ['Fdim', 0.51, {'B', 'Ab', 'F'}, 'F']
Fdim ['B', 0.72, {'B', 'Eb', 'C'}, 'B']
Fdim ['B', 0.64, {'B', 'Eb', 'F'}, 'B']
Fdim ['Fdim', 0.53, {'B', 'Ab', 'F'}, 'B']
Fdim ['Fdim', 0.54, {'B', 'Ab', 'F'}, '']
Fdim ['Fdim', 0.7, {'B', 'Ab', 'F'}, 'F']
Fdim ['Fdim', 0.7, {'B', 'Ab', 'F'}, 'F']
Fdim ['Fdim', 0.43, {'B', 'Ab', 'F'}, 'F']
Fdim ['Fdim', 0.55, {'B', 'Ab', 'F'}, 'F']
Fdim ['Fmin', 0.14, {'Ab', 'C', 'F'}, 'F']
Fdim ['Fdim', 0.48, {'B', 'Ab', 'F'}, 'F']
Fdim ['Fdim', 0.33, {'B', 'Ab', 'F'}, 'F']
Fmaj ['Fmaj', 0.55, {'A', 'C', 'F'}, 'F']
Fmaj ['Fmaj', 0.66, {'A', 'C', 'F'}, 'C']
Fmaj ['A', 0.69, {'A', 'Db', 'C'}, 'A']
Fmaj ['Fmaj', 0.75, {'A', 'C', 'F'}, 'C']
Fmaj ['Fmaj', 0.62, {'A', 'C', 'F'}, 'F']
Fmaj ['Fmaj', 0.66, {'A', 'C', 'F'}, 'F']
Fmaj ['Fmaj', 0.67, {'A', 'C', 'F'}, 'F']
Fmaj ['Fmaj', 0.4, {'A', 'C', 'F'}, 'F']
Fmaj ['Fmaj', 0.51, {'A', 'C', 'F'}, 'F']
Fmaj ['Fmaj', 0.15, {'A', 'C', 'F'}, 'F']
Fmaj ['Fmaj', 0.48, {'A', 'C', 'F'}, 'F']
Fmaj ['Fmaj', 0.36, {'A', 'C', 'F'}, 'F']
Fmin ['Fmin', 0.55, {'Ab', 'C', 'F'}, 'F']
Fmin ['C', 0.65, {'Eb', 'C', 'F'}, 'C']
Fmin ['C', 0.68, {'Eb', 'C', 'F'}, 'C']
Fmin ['Fmin', 0.62, {'Ab', 'C', 'F'}, 'C']
Fmin ['Fmin', 0.54, {'Ab', 'C', 'F'}, 'F']
Fmin ['Fmin', 0.7, {'Ab', 'C', 'F'}, 'F']
Fmin ['Fmin', 0.7, {'Ab', 'C', 'F'}, 'F']
Fmin ['Fmin', 0.42, {'Ab', 'C', 'F'}, 'F']
Fmin ['Fmin', 0.55, {'Ab', 'C', 'F'}, 'F']
Fmin ['Fmin', 0.15, {'Ab', 'C', 'F'}, 'F']
Fmin ['Fmin', 0.48, {'Ab', 'C', 'F'}, 'F']
Fmin ['Fmin', 0.35, {'Ab', 'C', 'F'}, 'F']
Abdim ['Abdim', 0.81, {'B', 'D', 'Ab'}, 'D']
Abdim ['Abmin', 0.55, {'B', 'Eb', 'Ab'}, 'B']
Abdim ['Abmin', 0.52, {'B', 'Eb', 'Ab'}, 'B']
Abdim ['B', 0.58, {'B', 'D', 'A'}, 'B']
Abdim ['B', 0.63, {'B', 'Ab', 'A'}, 'B']
